제목,답변상태,작성일,담당부서,작성내용,답변내용
어제 오늘 비가 많이온후 차도로가 침하된것 같습니다.,답변완료,2024-09-21 17:35:32,안전도시국 건설과,하단오일장 장터찌짐이 가게 앞 차 도로 비가 많이 온후 금일 오후 3시쯤 지나가면서평소에 없던 도로 침하현상을 발견했습니다. 주위에 도로 아스팔트도 부서져 있습니다.확인 및 보수 부탁드립니다.※ 첨부파일 :20240921_172321.jpg20240921_172401.jpg20240921_172254.jpg,"1. 안전한 도로 환경 조성을 위한 귀하의 신고에 감사드립니다.2. 귀하께서 건의하신 민원사항(하단동 619-23번지, 포트홀 정비요청)에 대하여 정비완료 하였음을 알려드립니다.3. 기타 문의사항은 사하구청 건설과 조상균 주무관(051-220-4664)에게 연락주시면 친절히 답변 드리겠습니다.붙임  1. 상담민원 1부.2. 위치도 및 상담민원 1부.  끝.※ 첨부파일 :위치도 및 현장사진.hwp"
음식물 감량기 보조금 지원,답변완료,2024-09-20 13:29:39,교통환경국 자원순환과,보조금 나오는 기기에 해당하는데 어떻게 신청해야하나요,"1. 안녕하십니까, 귀하께서 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.2. 귀하의 민원내용은 가정용 음식물 감량기 보조금에 관한 것으로 이해되며, 검토의견은 다음과 같습니다.가. 우리 구는 2024년도에는 가정용 음식물 감량기 보조금을 지원하고 있지 않으나, 향후(2025년 이후) 예산이 확보되면 지원계획을 수립하여 추진할 예정입니다.나. 또한, 사업 시행계획 공고 이전 설치한 음식물 감량기에 대해서는 보조금이 소급 지원되지 않음을 알려드립니다.3. 기타 문의사항이 있으신 경우 사하구 자원순환과(☎051-220-4451)로 문의 주시면 답변하여 드리겠습니다. 감사합니다.붙임  2024년9월23일-a0-민원상담목록번호236615.  끝."
다대1동 다대리슈빌 인도 양방향으로 만들어주세요,이송이첩,2024-09-20 20:37:12,없음,다대1동 다대리슈빌쪽 옆 일방통행 도로에 좌측 인도를 없애고 아파트쪽에만 인도를 만들어 보행자는 돌아서 가야되고 여러번 신호등을 기다리고 건너야됩니다 예전처럼 차선은 일차선으로 인도는 양방향으로 다닐수 있도록 조치해주세요※ 첨부파일 :1726831951784.jpg,없음
포스코는 제3자에 의한 객관적이고 공정한 조사 및 평가를 해주시기를 요청합니다.,답변완료,2024-09-20 08:03:17,안전도시국 건축과,"저희집은 지리적 특성상 포스코건설 에서 시행하고 있는 당리승학지역개발조합현장이라고도 할수 있는 자리에 위치해있습니다.23년 말부터 시작된 공사로 인해, 저는 집의 안전문제로 사하구청에 민원을 넣어왔으며, 그로인한 안전대책을 세우기 위해 포스코와  자료를 공유해오고 있습니다.그러나 저희와 같은 일반인은 그런 자료를 봐도 해석할 수가 없었습니다.계속되는 천공작업과 여러 가지 작업으로 인해 저희 집 이곳저곳이 갈라지는 등 여러 문제가 발생을 하였고, 이웃주민들 에게  저희 집이 많이 기울어 보인다는 말을 듣게 되었습니다. 따라서 포스코 에서 제시하는 자료에 불신감이 들었습니다.그러던중 건축,건설에 대한  전문가와 연결이되어 포스코에서 제시한 자료를 보여주고 자문을 받게 되었으며. 그 결과 아래와 같은 내용을 받게 되었습니다.제공된 계측결과의 문제점포스코가 제공한 2024년 2월 20일부터 2024년 6월 27일까지의 건물 기울기 및 균열 측정 데이터는 신뢰할 수 없습니다. 이 데이터는 산발적으로 취득된 40개 미만의 샘플로 구성되어 있으며, 이러한 적은 데이터만으로는 주택의 안정성을 평가하기에 부족합니다. 또한, 포스코가 사용하는 측정장치(eXAD-8)의 정밀도 및 Calibration 데이터가 제공되지 않아, 계측 결과의 신뢰성에 큰 의문이 제기됩니다.기울기 및 균열 관련 데이터 조작 의혹 및 재조사 요구포스코는 건물의 기울기와 균열 측정 결과가 허용 범위 내에 있다고 주장하였으나, 해당 데이터는 전체 건물의 상태를 충분히 반영하지 못하며, 측정 과정에서도 신뢰성을 확보하지 못한 것으로 판단됩니다.불충분한 측정 및 데이터 왜곡포스코가 제시한 T-1, T-2 두 개소의 기울기계 데이터는 전체 건물의 안정성을 평가하기에 불충분하며, 측정 위치와 방법에 있어서 현장 상황을 적절하게 반영하지 못하고 있습니다. 따라서, 본인은 독립된 전문기관에 의한 재조사를 요구합니다. 포스코는 이와 관련한 모든 조사에 적극 협조해야 할 의무가 있습니다.요구사항포스코가 제기한 민원에 대한 해결책으로, 제3자에 의한 객관적이고 공정한 조사 및 평가가 필수적입니다. 포스코가 제공한 계측 데이터를 기반으로 한 어떠한 주장은 신뢰할 수 없으며, 포스코의 주장이 공학적으로 타당하지 않음을 증명하기 위해 추가적인 독립적인 조사가 필요합니다.",1. 평소 구정의 발전에 대한 관심과 협조에 감사드립니다.2. 귀하의 민원 내용은 당리동 54번지 일원 주택건설사업 시공사의 독립된 계측업체를 통한 계측 요청으로 이해되며 검토 결과는 아래와 같습니다.○ 귀하의 민원 내용을 당리동 54번지 일원 주택건설사업 시공자에게 전달하여 독립된 계측업체를 통한 계측업무의 필요성 및 가능 여부 등에 대하여 검토할 것을 요청하였습니다.3. 답변에 대하여 추가 문의 사항이 있는 경우 사하구청 건축과(☎220-4604)로 연락주시면 안내해 드리겠습니다.붙임 : 2024년9월27일-a0-민원상담목록236553 1부.  끝.
현수막게시대 수리 요청,답변완료,2024-09-19 13:06:01,안전도시국 도시정비과,괴정동 550-1 공용 현수막 게시대가 손상되어있습니다빠른 수리 부탁드립니다※ 첨부파일 :20240918_162348.jpg,"1. 평소 구정업무에 깊은 관심을 가져 주셔서 감사드립니다.2. 귀하께서 말씀하신 현수막게시대에 대하여는 현장 확인 후 수리하였음을 알려드립니다.3. 귀하의 신고에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요하거나 기타 문의사항은 우리 구 도시정비과(☎051-220-4715)로 연락주시면 성의껏 안내해 드리겠습니다. 감사합니다.붙임 : 정비사진 1부.  끝."
감천동 풀숲 벌레 퇴치,답변완료,2024-09-19 10:12:42,교통환경국 산림녹지과,바쁘신 와중에 민원 하나 부탁드리겠습니다사하구 사하로 84 풀숲에 벌레가 너무 많이 나옵니다 풀도 너무 많고요 벌초 부탁드리겠습니다,"1. 우리구 녹지행정 발전에 관심을 가져주신 데 대하여 깊은 감사를 드립니다.2. 귀하께서 신청하신 민원사항에 대하여 다음과 같이 회신합니다.가. 민원요지○ 사하로 84 풀숲 벌레 퇴치, 제초 등 정비 요청나. 답변요지○ 귀하께서 말씀하신 사하로 84는 빠른 시일 내 제초 등 정비하도록 하겠습니다.○ 최근 녹지대 정비 요청 민원이 증가함에 따라 민원 해소를 위하여 순차적으로 정비 작업 시행 중이오니 기간이 다소 소요되더라도 너그러이 양해해 주시기를 바랍니다.3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 사하구 산림녹지과(☎220-4531)로 연락주시면 성실히 안내드리겠습니다. 감사합니다.붙임  상담민원내용 1부.  끝."
사하구청소년 문화의집 조명,답변완료,2024-09-19 16:19:19,주민복지국 가족행복과,사하구 청소년 문화의집에 아이를 보내고 있습니다.지난주 문화의 집에서 행사가 있어사 아이가 그동안  연습했던 악기연주 공연을  보고 감동 받았습니다.아이도 스스로 해냄을 자랑스러워 했습니다.다만 아쉬점이 조금 있어서 이렇게 의견을 남깁니다.아이들의 무대 조명이 너무 초라합니다.무대에 집중할 수 있는 조명이 제대로 라면 보는 관객이나  연주하는 아이들도 좀 더 멋진공연이 될 것 같습니다.고우니홀 시설확충이 필요 할 것 같습니다.,"1. 귀하의 가정에 건강과 행복이 함께 하시길 기원합니다.2. 귀하께서 신청하신 민원에 대하여 다음과 같이 답변 드립니다.가. 민원요지○ 사하구청소년문화의집 내 고우니홀 조명시설 확충 제안나. 답변요지○ 먼저, 사하구청소년문화의집 행사에 참여해 주시고 청소년 복지를 위한 발전방안을       제시해 주셔서 감사드립니다.귀하께서 요청하신 사하구청소년문화의집 내 고우니홀 조명시설 확충은 계획수립,       예산확보 등 검토가 필요한 사안임을 알려드리며, 차후 제안내용이 추진될 수 있도록       부서에서 적극 검토·노력하도록 하겠습니다.3. 답변내용에 대한 추가 설명이 필요한 경우 사하구 가족행복과(☎ 220-5631)로 연락주시면     친절히 안내해 드리도록 하겠습니다. 감사합니다.붙임  상담민원 1부.  끝."
윤공단로 (사하단팥빵부터 이마트24편의점까지) 불법 주차 문제 심각합니다.,답변완료,2024-09-19 10:30:41,교통환경국 주차관리과,"사하단팥빵부터 이마트24 편의점까지 이어지는 차도의 불법 주차 문제가 심각합니다. 양쪽으로 불법 주차된 차량 때문에 올라가고 내려가는 차량의 운전자끼리 실랑이 하는 일은 아마 계속해서 있었던 것 같고 앞으로는 사람이 다치는 일까지 생길 수도 있습니다. 최근에는 내려가는 차량이 올라오는 차량을 계속 양보하다 화가 나서 아예 도로를 막아 잠깐 동안 교통 마비가 일어났던 적이 있습니다. 저는 올라가고 있는 차량들 중 하나였구요. 막고 있는 차량 운전자 분이 온갖 욕을 하고 난리도 아니었어요. 당연히 사람들은 112에 신고를 했죠. 그리고 다음 날, 바뀌는 건 없었습니다.  저는 사람이 갑자기 튀어나올까 조마조마해 하며, 사람은 차량이 갑자기 지나갈까 조마조마해 하며 그곳을 지나가야 하는 건 똑같았죠.그곳은 수시로 인도에서 인도로 건너가는 보행자가 있는 곳입니다. 운전자 입장에서는 사람이 차량 사이에서 갑자기 튀어나오는 상황, 보행자 입장에서는 건너려는데 갑자기 차량이 튀어나오는 상황이 비일비재하게 일어나고 있는 겁니다.상가가 많은 위치라는 특성상 편의점에서 잠깐 뭔가를 사기 위해 비상등을 켜고 정차하는 건 이해합니다. 아마도 그걸 막진 못하겠죠. 그러나 몇 시간씩 혹은 하루종일 주차를 하는 건 막아주십시오. 가게 주인들이 장사에 영향이 있을 수도 있기에 반대할 수도 있겠죠. 그래도 사하구에서는 대화를 통해 해결책을 찾아주세요. 또 사람 다치고 무슨 일 벌어져야 행동할 건가요?사하구 여러 곳에서 불법주정차 강력단속한다는 플랜카드를 보았는데, 제가 운이 없어서 인지는 모르겠으나 제가 지나갈 때는 불법주정차 차량들이 없던 적이 없더군요. 매일 불법주정차 차량 때문에 사고가 나고 사고가 날 뻔한 상황이 수시로 벌어지는 게 현실입니다.","1. 귀하께서 자체접수하여 신청하신 민원에 대한 검토결과를 다음과 같이 알려드립니다.2. 귀하의 민원내용은 “불법주정차 단속요청”에 관한 것으로 판단됩니다.3. 귀하의 질의사항에 대한 검토의견은 다음과 같습니다.가. 우선 귀하께서 해당 지역의 불법주차로 불편을 겪으신 점 송구스럽게 생각합니다.나. 해당 지역에 대하여는 이동식 단속 차량을 이용하여 주차단속을 하고 있으나, 주차단속업무의 특성상 단속 당시에만 효과가 있어 단속에 애로사항이 많은 점 넓은 마음으로 이해하여 주시기 바랍니다.다. 해당 지역에 대해서는 이동식 단속차량을 통한 주차계도 및 단속을 실시하여 불법주차로 인한 귀하의 불편사항이 최소화되도록 하겠습니다.4. 해당 지역의 불법주정차로 인해 생활불편이 발생될 시, 평일 09:00~18:00에는 주차관리과(☎220-4561~5)로, 평일 야간 및 공휴일에는 구청당직실(☎220-4222)로 신고하여 주시면 신속히 불편사항을 처리해 드리겠습니다.5. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 주차관리과(☎220-4561~5)로 문의하시면 성심껏 답변 드리겠습니다."
보안등 불편신고,답변완료,2024-09-19 20:00:40,교통환경국 교통행정과,신호등 보기 힘들 정도로 눈부십니다 조치바랍니다※ 첨부파일 :KakaoTalk_20240919_195609521_01.jpgKakaoTalk_20240919_195609521.jpg,"1. 안녕하십니까? 귀하의 구정에 대한 관심에 깊이 감사드립니다. 귀하께서 신청하신 민원에 대해 다음과 같이 답변드립니다.2. 귀하의 민원 내용은 괴정로243(괴정동)에 설치된 투광기(횡단보도 집중 조명시설)가 신호등을 보기 힘들 정도로 눈이 부십니다.’에 관한 것으로 판단됩니다. 본 시설물의 경우 따로 밝기 조정이 불가능하므로 각도를 조정하여 횡단보도 이용에 불편함이 없도록 업체에 전달하겠습니다.3. 귀하의 민원에 만족스러운 답변이 되었기를 바라며, 기타 궁금하신 사항이 있으실 경우 사하구청 교통행정과(☎051-220-4560)로 연락 주시면 친절히 안내드리도록 하겠습니다. 감사합니다."
포스코공사,답변완료,2024-09-19 17:04:05,교통환경국 환경위생과,새벽 야간근무하고 오전에 퇴근 했습니다.지금 시간 잠을 자야 출근을 할텐데 내려찍는소리 쿵쿵 거리면서 바닥이 울리니 머리가 지끈거리고 잠을 잘수가 없습니다.피로도가 누적되고 출근에 지장 생기면 책임 지실겁니까?소음측정기만 들고 서있지 말고 개선 좀 하세요,"1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토결과를 다음과 같이 알려드립니다.2. 귀하의 민원 내용은 「부산 당리승학 지역주택조합 공동주택 신축공사에서 발생하는 소음 및 분진으로 인한 생활불편」에 관한 것으로 이해됩니다.3. 귀하의 민원사항에 대해 검토한 결과는 다음과 같습니다.- 귀하의 불편사항을 현장관계자에게 전달하여 작업시간 준수, 고소음 작업 시 장비분산 사용, 작업자 교육 실시, 공사장 살수 철저 등 공사장 소음, 분진 최소화 할 수 있는 방안 마련하여 공사장 관리 철저토록 행정지도 하였습니다.- 추후에도 지속적으로 소음피해 발생 시 생활소음규제기준 준수 여부 확인을 위해 귀 댁에서 측정을 요청할 수 있으며, 해당 지역에 대한 지속적인 순찰을 통해 주민불편 사항이 최소화되도록 노력하겠습니다.4. 귀하의 민원에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 환경위생과 환경지도계(051-220-4397)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다."
부네치아 근처 강변도로 악취문제,답변완료,2024-09-19 09:44:40,교통환경국 환경위생과,연휴기간 차를 타고 운행중 부네치아에서 을숙도대교 아래를 지나갈때까지 계속해서 악취가 차내부로 들어왔습니다. 하루만이 아니고 연휴기간 지날때마다 계속 악취가 났습니다. 이 냄새로 예전 염색업체들 있을때 주변 악취의 악몽이 떠올랐습니다. 친지들 태우고 다대포 보여주고 자랑하고 사하구가 살만한 곳이라고 자랑도 했는데 차내부로 들어오는 망할 악취는 정말 최악이었네요. 다대포로 오는 관광객들이 늘어나고 있는 상황에서 악취로 인해 사하구의 이미지는 나빠질수 밖에 없겠죠. 공무에 많이 바쁘시겠지만 주변 환경 점검 꼭 필요하고 이 냄새를 잡아야 할 것 같습니다. 요즘같은 시대에 정말 이해하기 힘드네요.,"1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.2. 귀하의 민원내용은 “강변대로 공단 악취 발생”에 관한 것으로 이해됩니다.3. “강변대로 공단 악취 발생”에 대해 검토한 의견은 다음과 같습니다.가. 강변대로와 인접한 공단 내 환경순찰 중 악취 감지되었거나, 악취배출시설에 해당하는 사업장에 대해 현장확인을 실시하였고,나. 일부 악취가 감지된 사업장에 대해 악취오염도 검사를 실시하여, 그 검사 결과에 따라 적의조치할 예정임을 알려드립니다.다. 한편, 사업장 관계자에게 민원사항을 전달하고, 시설을 적정 관리하여 악취발생 저감하도록 행정지도하였습니다.4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우, 사하구 환경위생과(☏051-220-0082)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다."
뉴코아 아울렛 뒤쪽 골목 흡연 및 쓰레기투척 문제 해결,답변완료,2024-09-18 17:01:08,교통환경국 자원순환과,"안녕하십니까. 저는 위에 주소에 해당되는 모란빌딩 건물주의 며느리입니다.아버님이 인터넷접수를 잘 하지 못하셔서 제가 대신 전합니다. 민원처리 결과는 저 혹은 아버님 어느 분께라도 가능합니다.(번호 2가지 기록됨)뉴코아 아울렛 과 괴정시장 입구에 30년 넘게 우리 건물이 있습니다. 건물 뒤로 연결되는 골목은 샛길로 자주 이용되지만. 큰 아울렛 뒤에 좁은 골목은 마치 우범지대처럼 청소년, 노인, 장사하시는 분들, 술에 취한 사람들 등등 할 것 없이 3355 모여서 담배 피고 수다 떨고 노상방뇨 및 쓰레기 투척으로 몸살을 앓고 있습니다.길거리 횡단보도 주변 흡연 금지, 사유 건물 앞 흡연 금지 팻말이 붙어있어도 아랑곳 하지 않고 너무 많은 사람들이 담배를 피고 꽁초를 버립니다. 침을 뱉고 마시다 버린 음료수 컵도 나뒹굽니다.80이 다 되어가는 저희 시부모님은 하루가 멀다 않고 내려오셔서 치우고 치우고. 해도 도무지 답이 없습니다.표지판을 붙이고 구청에 민원을 넣어도 큰 쓰레기 봉투만 주고 갈 뿐 아무 해결책이 없습니다.이번 추석에도 건물 주변 철조망 틈새로 화단에 던진 쓰레기들을 청소하는데 가족들이 모두 나와  한참을 고생하고 간판을 새로 붙였지만.치우고 있는데도 끝없이 담배 피고 꽁초를 버리는 사람들 때문에 너무 힘들었습니다.쓰레기 투척모습과 치우는 현장 모습, 우범지대 모습 사진은 첨부파일을 참고바랍니다.길거리 금연은 엄연한 규칙인데. 아무도 지키질 않습니다. 다 핀 꽁초를 호주머니에 들고 다니는 사람은 없을 겁니다. 전부 버리고. 눈치 보면서 하수구멍에 버립니다. 하수구가 막히고 악취가 나면 결국 구청 일만 많아집니다.늘 되풀이되는 문제들 떄문에 시부모님 및 우리 가족들의 스트레스가 너무 심각합니다. 조치를 부탁드립니다. 저희가 바라는 내용은 다음과 같습니다.1. 구청관할로 차라리 쓰레기통을 3~4개 설치하고. 구청 차원에서의 정기적인 관리를 부탁합니다.2. 한번씩 순찰을 나와서 이 곳이 금연구역임을 인지시켜 주시기 바랍니다.3. 필요한 경우 저희는 부산 뉴스에 제보할 의향도 있습니다.사하구 괴정의 시민수준이 이 정도인가......어제 쓰레기를 치우며 든 생각이고, 결여된 시민 의식에 놀랄 따름입니다.괴정시장과 뉴코아아울렛은 우리 괴정동의 핵심 지역이고 우리 동네의 얼굴이라고 생각합니다.정말 많은 유동인구가 오고가는 이 곳에 주민들이 및 학생들이 담배연기에 노출되고,  그에 따른 쓰레기들로 고통받고 있습니다.구청차원에서의 관심과 관리를 간곡히 부탁합니다.동네 주민들이 좀 더 쾌적하고 꺠끗한 환경에서 지내고 금연을 실천할 수 있도록 사하구청의 협조를 구하는 바입니다.빠른 시일 내에 실사를 나오셔서 해결해주시면 감사하겠습니다.사진은 첨부목록이 3장 뿐이라 3장만 첨부합니다.(1. 건물주변 쓰레기 투척된 모습 2. 연휴에 가족들이 쓰레기 치우고 푯말을 붙이는 모습  3. 뉴코아아울렛과 우리 건물 사이 우범지대 사진.(청소 후 찍은 사진)여러가지로 고충이 많으실 것으로 압니다.정말 수고가 많으십니다. 저희도 최대한 협조할 수 있으니 구청의 관리와 협조를 부탁합니다.감사합니다.※ 첨부파일 :KakaoTalk_20240917_131620237_08.jpgKakaoTalk_20240917_131620237_12.jpgKakaoTalk_20240917_131620237_01.jpg","1. 평소 구정 발전에 관심을 주셔서 감사드립니다.2. 귀하의 민원내용은 ‘괴정시장 입구의 모란빌딩 골목의 쓰레기 청소, 흡연 단속과뉴코아 아울렛 횡단보도(5미터 이내)의 흡연 단속’에 관한 것으로 이해되며 검토의견은 다음과 같습니다.3. 먼저, 귀하께서 요청하신 쓰레기통 설치는 아래와 같은 사유로 시행이 어려움을양해 바랍니다.가. 가로 휴지통 설치 시 그 주변으로 무단투기의 온상지가 되는 등의 부작용이많아, 가로 휴지통의 철거를 요청하는 민원이 지속적으로 제기되고 있습니다.나. 이러한 사정으로 이미 설치된 가로 휴지통도 철거하고 있는 상황임을 양해해주시기 바랍니다. 환경미화원에 작업지시 및 무단투기 계도(과태료 부과) 등을통하여 깨끗한 환경이 되도록 노력하겠습니다.4. 그리고, 금연 단속에 관한 답변입니다.가. 괴정시장은 금연전통시장으로 지정되지 않아 금연 단속을 강제할 근거가 없음을알려드립니다.나. 또한, 아울렛 주위의 횡단 보도의 경우 현장을 방문 점검 한 바 5미터 이내 금연       구역에 대하여 전반적인 금연 단속 및 계도 활동을 실시하였습니다. 앞으로도주민분들의 간접흡연 예방을 위해 지속적인 금연단속 및 계도·홍보활동에 노력을 다하겠습니다.3. 기타 문의사항이 있으신 경우에는 사하구 자원순환과☎220-4434), 사하구보건소건강증진과 (☎220-5715,5777)로 연락하여 주시면 친절히 안내해 드리도록 하겠습니다.감사합니다.  끝."
도로통행 관련 문제,답변완료,2024-09-17 12:27:58,안전도시국 건설과,안 그래도 좁은 도로인데 집 앞에 화분을 놔둬서 차량 통행에 있어서 너무 불편합니다빠른 조치 부탁드립니다.주소는 승학로 281번안길 16입니다※ 첨부파일 :20240917_115401.jpg20240917_115358.jpg,"1. 안전한 도로환경 조성을 위한 귀하의 관심에 감사드립니다.2. 귀하께서 말씀하신 적치물 정비 요청에 대하여 확인한 결과, 적치물이 위치한 곳(괴정동 1063-34)은 개인 소유지로 도로법을 적용하여 정비하기 어려움을 양해해 주시기 바랍니다.3. 기타 문의사항이 있으실 경우 사하구청 건설과 담당자 김학(☎ 051-220-4661)에게 연락해주시면 친절히 안내하도록 하겠습니다.  끝.※ 첨부파일 :위치도 및 현장사진(괴정동 1063-34).hwp"
펜스 부서짐,답변완료,2024-09-16 17:16:18,안전도시국 건설과,구평동 이편한세상 사하 1차 교차로 쪽 펜스가 부서졌어요. 조치해 주세요.※ 첨부파일 :20240916_132618.jpg,1. 안전한 보행환경 조성을 위한 귀하의 신고에 감사드립니다.2. 귀하께서 건의하신 구평동 e편한세상 1차 회전교차로 일원 안전펜스 정비는 빠른 시일내 정비(`24년 10월 완료 예정)하여 불편함이 없도록 하겠습니다.3. 기타 문의사항은 사하구청 건설과 김창우 주무관(051-220-4704)에게 연락주시면 친절히 답변드리겠습니다.붙임  1. 민원전문 1부.2. 위치도 및 현장사진 1부.  끝.
가로수 복원해 주세요,답변완료,2024-09-16 17:29:21,교통환경국 산림녹지과,구평동 금호아파트 정류장(14번 버스 정류장)근처 키작은 가로수가 다 잘려나갔네요. 3~4년전쯤인가 사하구청에서 가로수를 대대적으로 심었었는데요...제가 사진 찍은 부분으로 낮은 가로수가 다 잘려 나갔네요. 비교는 맞은편 가로수를 보시면 될것 같고요 사이사이에 있던 가로수 살펴보시고 복구작업 해주시면 감사하겠습니다.※ 첨부파일 :20240916_132409.jpg,"1. 우리구 녹지 발전행정에 관심을 가져주신데 대하여 깊은 감사를 드립니다.2. 귀하께서 안전신문고로 신청하신 민원(접수번호 202409161729212162)에 대하여 다음과 같이 답변 드립니다.가. 민원요지○ 구평동 117-15 주변 가로수 복구 요청나. 답변요지○ 구평동 117-15 주변 훼손된 가로수는 10월 중 빠른 시일 내에 정비하도록 하겠습니다.○ 향후 가로수 보식 계획을 수립하여 순차적으로 복구하도록 하겠습니다.3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이필요한 경우 사하구 산림녹지과(☎051-220-4534)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.  끝."
포스코 공사 시간이 오전 7시부터인가요?,답변완료,2024-09-14 07:29:17,교통환경국 환경위생과,주말에 잠을 자야 하는데 7시부터 포크레인이 작동하면서 돌싣는 소리가 납니다.주말에 직장인들은 잠을 자야 하는데 왜 개선되지 못하는지 모르겠습니다.문도 열어놓고 있지않은 데 쿵쾅 소리가 나서 잠이 깼습니다.부영벽산 블루밍 아파트 101동은 아파트 공사장이라고 봐도 됩니다. 작은 소리도 울려서 다 들어옵니다.아침에 조회소리도 들릴 정도입니다.공사 시작시간은 9시부터 아닌가요? 평상시 6시에 차들어오는 소리 6:30즈음이면 본격적으로 뭔가 싣기 시작하고 7시 즈음에는 공사를 시작하는 것 같습니다. 주말에는 소음이 더 심하구요 지난번에도 주말 소음 문의 했습니다. 그런데 그 민원이 안 보입니다. 주말에 공사 소음 측정 부탁드리고 공사 시작시간이 언제인지 궁급합니다.※ 첨부파일 :20240914_0724현재.mp4,"1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토결과를 다음과 같이 알려드립니다.2. 귀하의 민원 내용은 「부산 당리승학 지역주택조합 공동주택 신축공사에서 발생하는 소음 및 분진으로 인한 생활불편」에 관한 것으로 이해됩니다.3. 귀하의 민원사항에 대해 검토한 결과는 다음과 같습니다.- 귀하의 불편사항을 현장관계자에게 전달하여 작업시간 준수, 고소음 작업 시 장비분산 사용, 작업자 교육 실시,  공사장 살수 철저 등 공사장 소음, 분진 최소화 할 수 있는 방안 마련하여 공사장 관리 철저토록 행정지도 하였습니다.- 추후에도 지속적으로 소음피해 발생 시 생활소음규제기준 준수 여부 확인을 위해 귀 댁에서 측정을 요청할 수 있으며, 해당 지역에 대한 지속적인 순찰을 통해 주민불편 사항이 최소화되도록 노력하겠습니다.4. 귀하의 민원에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 환경위생과 환경지도계(051-220-4397)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다."
나사풀리고 넘어지고,답변완료,2024-09-13 13:06:24,교통환경국 주차관리과,구평동 이편한세상 2차 앞 회전 교차로에 이리 되어있네요. 봉 이름을 잘 몰라서...넘어지고 나사가 풀린것도 있어서 조치해 주십시요.※ 첨부파일 :20240913_122004.jpg,"1.귀하께서 안전신문고에 제출하여 우리 구로 이첩된 민원에 대하여 다음과 같이 답변 드립니다.2. 귀하의 민원내용은 시선유도봉에 관한 것으로 판단됩니다.3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.- 해당 위치에 파손된 시선유도봉에 대해서는 보수조치 하도록 하겠습니다.- 다만, 시선유도봉 설치 및 보수 요청 민원 수요가 많은 관계로 순차적으로 진행됨을 양해바랍니다.4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며,답변 내용에 대한 추가 설명이 필요한 경우 주차관리과(☎220-4561~5)로 문의하시면 성심껏 답변 드리겠습니다."
