제목,작성일,답변상태,담당부서,민원내용,답변내용
해운대구청 일하는거 맞습니까? 블루레인파크 테크길 완공 언제됩니까?,2023-09-12,답변완료,문화관광경제국 해양진흥과,"올 4월부터 8월까지 해운대블루레인파크 데크길을 막아놓고 해월정사인가 먼가 공사를 한다고하더군요

산책하기 힘든 겨울을 놔두고 왜 제일 좋은 계절의 반년을 공사하는지 이해가 되지않았습니다.

그렇게 4개월을 기다렸다니 공사기간 9월로 연장.

그렇게 1개월을 더 기다렸더니 어제가보니 이제 10월로 연장

어제도 데크길 산책가능한 200m구간을 쳇바퀴처럼 수십번 왕복하면서 수십명의 인근 주민들이 분노하고 구청장 욕하는걸 들었습니다

다같이 민원올리기로 하고 나또한 이렇게 올립니다.

당신들한테는 겨우 데크길이겠지만 우리같이 아침 저녁으로 이곳 산책하는걸 낙으로 사는사람들에게 삶과 같습니다.

아파트 입주민 회의에서도 구청장면담 등 단체활동을 할 예정이며

아래 답변이 이해가안갈시 정보공개청구 및 국민신문고 등 더 정확한 답변을 요구할 것입니다


1. 어떠한 이유로 예정공사기간보다 2달이 연장되었는지 설명하시오

2. 9월말부터 10월초 까지 추석명절 대체휴무 공휴일 등 다 쉬는날인데 그때도 공사를 진행하는지 설명하시오

3. 왜 겨울기간이 아닌 가장 산책많이 하는 기간인 봄여름가을 기간에 공사를 하는지 설명하시오","1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 “미포~청사포 그린레일웨이 데크길 차단 관련 문의”에 관한 것으로 이해됩니다.
3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
가. 귀하께서 건의하신 미포~청사포 해안데크 산책로 구간은 우리구에서 시행중인 해상전망대를 설치하는 「해운대~송정해수욕장간 연안정비사업」구간으로, 해상전망대를 데크길과 연결하기 위해서 데크 전폭을 들어내고 옹벽을 설치하는 구간이 있어 보행자의 안전을 위해 차단하였으며,
나. “차단기간 2달 연장 사유” 건에 대하여 답변 드립니다. 연장 사유는 태풍 ‘카눈’ 내습, 집중호우, 시공량 증가 등으로 연장이 되었음을 알려드립니다.
다. “추석 명절 연휴 공사 시행 여부” 건에 대하여 답변 드립니다. 추석 명절 연휴에는 공사가 진행되지 않음을 알려드립니다.
라. “공사 시기 문의” 건에 대하여 답변 드립니다. 보행로 차단기간을 최소화시키기 위하여 해월전망대(주탑 및 거더) 제작이 완료되는 시점에 맞춰 해월전망대 교대부(차단구간) 옹벽이 시공되어야 하며, 해월전망대 제작 완료일을 기준으로 역산하여 공사 시기가 결정되었음을 알려드립니다.
마. 통행에 불편을 드려 죄송하오며 조속한 시일 내에 공사를 마무리하여 차단기간을 최소화하기 위해 노력하겠습니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 해운대구 해양진흥과 양세용 주무관(☏051-749-4662)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.

붙임 1. 2023년9월17일-a0-민원상담목록번호299016. 끝."
해운대구 반송동 국민건강증진센터 (수영장)개장요청건,2023-09-12,답변완료,행정국 홍보협력과,"부산 반송동 건강증진센터가 장기간 방치되어있어 문의드립니다.

반송동 주민의 유일한 건강증진을 위한 장소가 장시간 개장되지 못하고 방치되어있습니다.
올해 12월 재개장 예정이라는 안내는 받았으나, 실제 수리는되고 있는건지. 개장시기를 좀더
앞당길수는 없는건지 국가기관에서 좀더 적극적인 해결 부탁드립니다.

손꼽아 기다리는 주민들이 많이 있습니다.
제발~~
반송 주민들도 수영을 비롯한 다양한 운동으로 생활 운동을 통한 건강관리가 가능할 수 있도록
빠른 대책 마련해주시기 바랍니다.","1. 안녕하십니까? 귀하께서 신청하신 민원(접수번호 202309121148147590)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 해운대구 건강증진센터(수영장) 개관 건의사항에 대한 민원으로 판단됩니다.
3. 귀하의 건의사항에 대해 검토한 결과는 다음과 같습니다.
가. 해운대구 건강증진센터는 현재 건물 지붕 및 하부 구조체 교체 등 대수선공사를 진행하고 있습니다. 2009년 4월 준공하여 올해로 준공한지 만14년이 되는 건물로 구조체, 기계시설, 각종 배관 등의 점검 및 보수가 필요한 시점이기 때문입니다.
나. 당초 수영장 일부 정비공사를 시행코자 하였으나, 건축시공 현장점검과 구조안전진단 등 전문가 진단 결과에 따라 이용자 안전과 향후 건물의 내구성 증진을 위해 대수선공사로 확장하게 되었으며 이에 수반되는 실시설계, 구조검토, 관련기관 협의 및 법적 인허가 절차를 이행하였습니다.
다. 현재 전반적인 공사 사전절차가 마무리됨에 따라, 이번 9월부터 내년 1월까지 공사 후 2024년 2월 개관, 운영할 계획입니다. 휴관기간 연장에 따라 다소 불편한 마음이 드셨으리라 생각됩니다. 향후 안전한 공사를 위해 관련 절차이행 등으로 부득이 기간이 소요됨을 이해 부탁드리며, 주민들이 더욱 안전하고 편리하게 사용하실 수 있도록 최선의 노력을 다하겠습니다.
4. 답변 내용에 대한 추가 설명이 필요한 경우 해운대구 홍보협력과(☏051-749 -4122)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 해운대구 건강증진센터에 관심을 가지고 좋은 의견 주셔서 감사합니다.



붙임 : 2023년9월14일-a0-민원상담목록번호299024. 끝."
송정광어골 진입로 입구 오토바이 방치,2023-09-11,답변완료,교통환경국 교통행정과,"달맞이길에서 우측으로 광어골 내려가는
입구에 번호판 없는 오토바이가 오랫동안
방치되어 있습니다

※ 첨부파일 :
20230909_134347.jpg","1. 귀하의 무궁한 발전을 기원합니다.

2. 귀하께서 제기한 민원과 관련하여 아래와 같이 답변드립니다.

3. 해당 이륜차는 현장확인 후 계고장을 부착하였으며, 계고기간 종료 후에는「자동차관리법」제26조(강제처리)에 따라 견인조치 예정임을 알려드립니다. 방치차량도 개인 소유재산이므로 일정 인수기간을 두고 있어 즉시 견인이 불가한 점 양해바랍니다.

4. 기타 궁금한 사항이 있으면 교통행정과 자동차관리팀 최호성(☎749-4652)으로 문의하여 주시기 바랍니다. 감사합니다.

붙임 1. 2023년9월18일-a0-민원상담목록번호298693.
2. 현장사진. 끝."
공사소음,2023-09-11,답변완료,교통환경국 환경위생과,"코오롱 아파트 101동 주민입니다
맞은편 중동 145-5번지 상가공사쪽에서 소음이 심하여 문을 열고 생활하기 힘듭니다.
겨울이면 문을닫고 그러려니 하겠는데 여름이라 창문을 닫을수도 없고 소음이 너무 심합니다
공사장이고 하니 그러려니 하는데 최근에 너무 심하여 신경이 많이 쓰입니다.
토요일까지 공사하는 것은 이해하겠는데 일요일에도 진행이 되고 있습니다.
신경 써주시면 감사하겠습니다","1. 안녕하십니까? 귀하께서 신청하신 민원(202309111139187379)에 대한 조치사항를 다음과 같이 알려드립니다.
2. 귀하의 민원 내용은 중동 145-5 주상복합 신축공사 공휴일 소음으로 인한 피해에 관한 것으로 판단됩니다.
3. 현장 방문 시 알폼 해체 작업을 하면서 소음이 발생하고 있어 현장 관계자에게 향후 동일 작업 시 작업 인력 보강 등을 통해 소음을 최소화하여 작업토록 행정지도 하였으며, 민원 불편 사항임을 감안하여 공휴일 및 이른 시간(07시) 소음 발생 작업 지양토록 안내하였습니다.
4. 향후에도 지속적인 환경순찰 등을 통해 주민 불편사항이 최소화 되도록 노력하겠으며, 답변 내용에 대한 추가 설명이 필요한 경우 환경위생과(051-749-4395)로 문의 하여 주시면 성실히 답변 드리겠습니다."
오토바이 써클 모임 강력한 처벌 및 처리 요청,2023-09-10,답변완료,교통환경국 교통행정과,"매일 밤 10시 부터 오토바이 써클 모임인지 정확하게 모르지만
정확하게 마린시티 한화리조트 앞 건너길에 한두대도 아니고 10 몇대 정도 주차 대기한후에
자정시간이 될쯤에 마린시티 1로 2로 3로 주변을 맴돌아 레이싱을 하듯이 굉음 내면서 활보를 합니다.

매번 민원넣어도 거기서 그만인듯해서
저는 앞으로 시정 및 고쳐지기전까지 계속 해서 민원글 적겟습니다.

입장 바꿔 생각 해보세요.
여러분이 마린시티 주민들이면 가만히 있겠습니까?

그것도 대낮도 아니고 자정넘어서 다들 잘시간에
고성방가는 물론 한두대씩 마린시티 주변을 굉음을 내고 다니면 누가 좋아합니까?

그리고 저런 피도 않마른 청년들이
네이버 밴드 및 인스타 모임이나 블로그 만들어
주변 주민들을 괴롭힐려고 작정한 인간들인데.
저걸 그냥 놔둡니까?
경찰들이 한두번와서 경고만 주고 가고.
한두번이야하시지마시구요.

몇일이든 몇달이든 몇년이든 처리좀 해주세요.

야간 시간에 삼삼오오 모여 활보하는걸 뿌리째 뽑아달라는 요청입니다.

주간이나 저녁엔 뭐를 하든간 상관없는데.

밤 9시이후부턴 주민들 생각좀 해주세요.

미쳐 돌아가 정신병 걸릴거 같습니다.

사진 참고용으로 제가 직접 찍은거니 참고하시고

철저한 관리통제 간곡히 부탁드립니다.

※ 첨부파일 :
20230910_221311.jpg","1. 평소 구정 발전에 도움을 주신데 대하여 감사드립니다.

2. 귀하의 민원은 귀하의 주거지에서 야간에 굉음 및 폭주운행을 일삼는 차량들에 대한 단속 요청인 것으로 이해됩니다.

3. 이와 관련하여 우리 구에서는 해운대경찰서 및 한국교통안전공단과 굉음 및 폭주차량 근절을 위한 합동단속을 진행하고 있으며, 소음 민원 발생지역 중심으로 관계기관과 협의하여 단속 추진토록 하겠습니다.

4. 귀하의 민원에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 우리 구 교통행정과 송상진 주무관(☎749-4657)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
-------------------------------------------------------------------------------------------------------------
[협조부서] : 교통환경국 환경위생과 [답변일자] : 2023-09-14 10:00:24
[작성자] : 박민주 [전화번호] : 051-749-4391 [이메일] : okdol78@korea.kr
[답변내용] :
1. 살기 좋은 도시 해운대를 만들기 위해 노력하겠습니다.
2. 운행차 폭주음으로 인해 생활 불편을 겪으시는 점에 대하여 위로의 말씀을 드립니다.
3. 귀하의 민원내용은 “소음과다 발생차량에 대한 조치 요청”으로 판단되며, 아래와 같이 검토한 의견을 알려드립니다.
- 자동차 및 오토바이 소음으로 인한 생활불편에 대하여 우리 구에서는 해운대경찰서, 한국교통안전공단 등 관계 기관과의 합동단속을 통해 환경위생과는 자동차 굉음 등을 중점적으로 확인하고 있음을 알려드리며, 귀하께서 신고하신 지역 주변도 관계 기관과 협의하여 빠른 시일 내에 단속을 진행토록 하겠습니다.
4. 기타 궁금하신 점이 있으시면 해운대구 환경위생과(☎749-4391)로 전화주시면 성실히 답변 드리겠습니다. 감사합니다."
심야 오토바이 굉음으로 고통스럽습니다.,2023-09-10,답변완료,교통환경국 교통행정과,"동일고충민원
동일고충민원여부
동일고충민원여부 : 선행민원번호 : 202206120112478623 선행민원상세조회","1. 평소 구정 발전에 도움을 주신데 대하여 감사드립니다.

2. 귀하의 민원은 귀하의 주거지에서 야간에 굉음 및 폭주운행을 일삼는 차량들에 대한 단속 요청인 것으로 이해됩니다.

3. 이와 관련하여 우리 구에서는 해운대경찰서 및 한국교통안전공단과 굉음 및 폭주차량 근절을 위한 합동단속을 진행하고 있으며, 소음 민원 발생지역 중심으로 관계기관과 협의하여 단속 추진토록 하겠습니다.

4. 귀하의 민원에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이필요한 경우 우리 구 교통행정과 송상진 주무관(☎749-4657)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
-------------------------------------------------------------------------------------------------------------
[협조부서] : 교통환경국 환경위생과 [답변일자] : 2023-09-14 10:00:11
[작성자] : 박민주 [전화번호] : 051-749-4391 [이메일] : okdol78@korea.kr
[답변내용] :
1. 살기 좋은 도시 해운대를 만들기 위해 노력하겠습니다.
2. 운행차 폭주음으로 인해 생활 불편을 겪으시는 점에 대하여 위로의 말씀을 드립니다.
3. 귀하의 민원내용은 “소음과다 발생차량에 대한 조치 요청”으로 판단되며, 아래와 같이 검토한 의견을 알려드립니다.
- 자동차 및 오토바이 소음으로 인한 생활불편에 대하여 우리 구에서는 해운대경찰서, 한국교통안전공단 등 관계 기관과의 합동단속을 통해 환경위생과는 자동차 굉음 등을 중점적으로 확인하고 있음을 알려드리며, 귀하께서 신고하신 지역 주변도 관계 기관과 협의하여 빠른 시일 내에 단속을 진행토록 하겠습니다.
4. 기타 궁금하신 점이 있으시면 해운대구 환경위생과(☎749-4391)로 전화주시면 성실히 답변 드리겠습니다. 감사합니다."
양운초등학교 주변 보도블럭 공사 안전 조치 후 공사바랍니다,2023-09-08,답변완료,교통환경국 늘푸른과,"양운초등학교 주변 보도블럭 공사 중이나 아무런 안전 조치 없이 보도 블록 방치됨과
초등학생 등하교 동선과 공사 구역이 겹치니 안전 조치 후 공사 바랍니다

※ 첨부파일 :
양운초등학교 주변.jpg","1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(목록번호 298328)에 대한 검토결과를 다음과 같이 알려드립니다.

2. 귀하의 민원내용은 ‘2023년 그린시티 자녀안심 그린숲 조성사업’ 양운초등학교 인근 보도블럭 공정 구간 자재 정리 등 안전 조치 요청 건으로 이해됩니다.

3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
가. 현재 우리과는 양운초등학교 일원 공사(포장) 구간 내 안전 문제 발생 가능 여부에 대한 상황을 인지하고 있습니다.
나. 이에 따라, 시공사 측에 해당 구간 신속한 정비 요청 및 그 외 나머지 공사 공정을 보다 빠른 시일내로 준공할 수 있도록 통보를 하였음을 알려드립니다.

4. 귀하의 깊은 양해를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 늘푸른과 김도훈 주무관(☏051-749-4534)에게 연락주시면 친절히 안내해 드리도록 하겠습니다.


붙임 1. 2023년9월14일-a0-민원상담목록번호298328.
2. 양운초등학교 주변. 끝."
송정 오복미역에서 좌회전 신호 설치,2023-09-07,이송이첩,"※ 연계처리내역 : 민원상세보기(원본)
 * 추천기관 : 경찰청
 * 이송(추천)사유 : 귀 기관 업무에 해당되어 이송합니다.(신호채계 개선)

[담당자:손재호, 연락처:051-749-4268]
 * 처리상태 : 이송이첩

※ 아래 답변이 안보일 경우 위의 민원상세보기(원본)을 클릭하여 확인해 주시기 바랍니다.
  - 연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다.","안녕하세요.
송정 오복미역 쪽에서 기장 방면 좌회전 신호 만들수는 없는지요?

※ 첨부파일 :
20230724_114634.jpg",없음
좌2동 벅산2차아파트 주변 인도 보도블럭 교체 요망합니다.,2023-09-07,답변완료,도시안전국 도시관리과,"구정 업무에 수고가 많으십니다.
좌동 벽산2차아파트 진입로 4거리 주변에 인도 보도블럭이 노후되어 주변환경이 심히 우려되고 군데군데 울퉁불퉁한 곳이 있어 보행자 안전을 위협하고 있습니다. 특히 이곳은 초등학교 통학로로 어린이들이 많이 왕래하고 있어 더욱 어린이 안전및 쾌적한 주변환경 조성이 필요하다고 생각됩니다.
검토하시어 해결해 주시면 감사하겠습니다.
공사요망 지점
1)좌2동 사무소맞은편 부산은행 에서 파랑새약국 간 약 10M 인도
2)좌2동사무소앞 4거리 벽산2차아파트 상가에서 대우2차아파트 정문까지 약100M 인도

※ 첨부파일 :
대우2차방향 인도.jpg
부산은행옆 인도사진.jpg","1. 항상 구정발전에 관심을 가져주시는 귀하께 감사드립니다.
2. 귀하의 민원내용은 “좌동1439번지 일원 보도정비요청”에 관한 것으로 이해됩니다.
3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
가. 우리 구는 안전한 보행환경 조성을 위해 힘쓰고 있으며, 보도 노후 정도, 구 재정여건 등을 종합적으로 검토하여 예산확보 등을 통해 순차적으로 정비를 실시하고 있습니다.
나. 건의해주신 현장에 대하여 추후 예산반영 등을 통해 정비방안을 검토 후 조치하겠음을 알려드리오니 이 점 양지하여 주시기 바랍니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며 추가 설명이 필요할 경우 해운대구 도시관리과 (☎051-749-4681)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.

붙임 1. 2023년9월12일-a0-민원상담목록번호298074.
2. 대우2차방향 인도.
3. 부산은행옆 인도사진. 끝."
반여1동 센텀 대림 아파트 옆 수영강변 농구장 쓰레기통설치 및 다리밑 오수 처리,2023-09-06,답변완료,도시안전국 건설과,"1) 농구장에 쓰레기 담는 도구를 설치 해 주기 바랍니다. 전에는 마대 통이 있었는데 없어졌으며 cctv를 설치한다고 경고 할 것이 아니고 학생들이 운동후에 땀 흘리고 휴지가 발생하는데 편하고 운동 할 수 있도록 바랍니다.
2) 도로를 받치고 있는 기둥 바닥에 물이 많이 고여서 냄새가 지독합니다.전에는 물이 그렇게 고이지 않았는데 근래 물이 빠지질 않고 원동 IC 다리 까지 많이 고여 있읍니다,","1. 평소 구정발전에 많은 관심을 가져주셔서 감사드립니다.
2. 귀하의 민원은 수영강 농구장 쓰레기통 설치 및 교각 하부 물고임 개선 요청 사항으로 검토결과를 다음과 같이 답변 드립니다.
3. 우선, 교각 하부 물고임 현상으로 인하여 불편을 드려 사과말씀 드리며, 수영강 배수 개선방안에 대하여 검토하도록 하겠습니다.
4. 수영강 쓰레기 수거함은 과거 지속적인 생활쓰레기 투기로 제거한 사항으로 쾌적한 하천환경 유지를 위하여 쓰레기는 되가져가도록 안내, 계도하고 있음을 양지하여 주시기 바랍니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 건설과 원지연 주무관(☏051-749-6036)에게 연락주시면 친절히 안내해 드리도록 하겠습니다.


붙임 : 상담민원 내용 1부. 끝."
해운대미진이지비아 앞 도로 길고양이 로드킬 추정,2023-09-06,답변완료,문화관광경제국 자원순환과,"안녕하세요
출근길 도로에 고양이 사체를 보고 글을 작성합니다
수영로교회-중국대사관 쪽에서 광안대교로 가는 길 미진이지비아 아파트 앞 도로에 고양이 사체가 있습니다
관할이 어디인지 정확히 몰라 구청으로 문의드려봅니다","1. 구정에 대한 관심과 의견에 감사드립니다.
2. 귀하께서 요청하신 미진이지비아 아파트 압 도로 고양이 로드킬 사체는 9.6.(수) 14:30에 처리 완료하였습니다.
3. 기타 청소관련 불편한 사항이 있으시면 자원순환과 담당자(☏749-4436)에게 연락 주시면 신속히 처리하도록 하겠습니다. 감사합니다.

붙임 2023년9월7일-a0-민원상담목록번호297841. 끝."
등산로에 쓰러진 소나무 제거 요청,2023-09-05,답변완료,교통환경국 늘푸른과,"장산 대원각사(사찰)의 차 밭을 지나 밑으로 내려가는 등산로(경내지에서 약50-60m 지점)에 약1개월 전부터 소나무가 부러져 등산로를 막고있습니다.
이렇게 쓰러진 소나무를 제거하여 등산하는 데 지장이 없게 해주시기바랍니다.
사진 첨부

※ 첨부파일 :
1693884348439.jpg","○ 평소 산림행정 업무에 관심을 가져주심에 감사드리며, 귀하께서 홈페이지에 신청하신 민원(신청번호 297668) “장산 원각사 일원 등산로 내 도복목 제거 요청” 건에 대해 다음과 같이 회신드립니다.
○ 귀하의 민원내용은 “장산 원각사 일원 등산로에 나무가 쓰러져 있어 등산객들 통행에 지장을 주니 제거해 주길 바란다.”에 관한 것으로 이해됩니다.
○ 해당 건에 대하여 현장확인 완료하였으며, 추후 빠른 시일 내에 처리해드릴 예정임을 알려드립니다.

○ 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 늘푸른과 최소영주무관(☎ 051-749-4484)에게 연락주시면 친절히 안내해 드리겠습니다. 감사합니다. 끝.


붙임 2023년9월12일-a0-민원상담목록번호297668."
해운대자명병원 앞 맨홀 뚜껑 덜컹 거리는 소리 좀 해결해주세요.,2023-09-05,답변완료,도시안전국 도시관리과,"해운대자명병원 앞 맨홀 뚜껑 소리가 너무 시끄럽습니다
특히 직원들 출퇴근하는 6시~8시 사이, 퇴근 시간 기타 등등 덜컹 거리는 소음이 심합니다.
근처 맨션과 아파트 단지가 많으니 소리가 울려서 집안에서는 더 크게 들려요
병원 측에 시끄럽다고 이야기 했지만 그대로입니다.
소리가 안 나도록 해주십시오.
해운대자명병원 올라가는 오르막길에도 맨홀 뚜껑이 2개 정도 있는 거 같은데 거기도 살펴봐주십시오
노고에 감사드립니다.","1. 항상 구정발전에 관심을 가져주시는 귀하께 감사드립니다.

2. 귀하의 민원내용은 “해운대 자명병원 앞 맨홀 정비”에 관한 것으로 이해되며, 현장 확인 결과 자명병원으로 올라가는 도로 내 맨홀 2개소에 대해 정비 시행 예정임을 알려드리며 빠른 시일 내 정비 시행토록 하겠습니다.

3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 도시관리과 박건민 주무관(☏051-749-4682)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다."
구남로 중앙에 설치된 물건 철거 요청,2023-09-05,답변완료,도시안전국 도시관리과,"동일고충민원
동일고충민원여부
동일고충민원여부 : 선행민원번호 : 202308261150054330 선행민원상세조회","1. 평소 구정 발전에 많은 관심을 가져주셔서 감사드립니다.

2. 귀하께서 문의하신 해운대 구남로 중앙에 있는 시위물건 철거요청에 대하여 철거된것을 확인후 답변드렸으나, 여전히 그 자리에 있다는 민원 건에 대한 재차 현장 확인결과 철거되고 없음을 알려드립니다.

3. 기타 궁금하신 점은 해운대구청 도시관리과(☎ 749-4284)로 문의주시면 성심껏 답변 드리겠습니다. 감사합니다.

붙임 1. 2023년9월7일-a0-민원상담목록번호297649."
차선 도색 이상유뮤 확인요청,2023-09-04,답변완료,도시안전국 건설과,"기장에 살고 있는 주민입니다.
다름이 아니고 해운대 좌동에서 송정터널을 지나 송정어귀 삼거리에서 송정쪽으로 좌회전 시 중앙선에서 유도하는 점선이 상대편 중앙선과 연결이 않되고 상대편 1차선과 2차선의 경계선과 연결이 되어 그 유도하는 점선을 따라가면 상대편 1차선에 대기중인 차량과 사고의 위험이 있으므로(특히 야간 및 처음 그 도로를 이용하는 지방운전자 들) 조속히 현장 확인 하시어 시정하여 주시기 바랍니다.","1. 항상 구정발전에 관심을 가져주시는 귀하께 감사드립니다.
2. 귀하께서 신청하신 민원(새올상담민원-297462)사항에 대하여 다음과 같이 답변 드립니다.
가. 우리 구에서는 송정동 교통정체 해소를 위하여 송정동 해운대로 일원 교통체계 개선사업을 추진 중에 있습니다.
나. 공사로 인한 불편함에 대해서는 양해말씀 드리오며, 민원대상 구간(송정어귀삼거리) 차량유도선은 현재 조치완료되었음을 알려드립니다.
3. 답변 내용에 대한 추가 설명이 필요할 경우 해운대구 건설과(☎051-749-4694)로 연락주시면 친절히 안내해 드리도록 하겠습니다


붙임 2023년9월4일-a0-민원상담목록번호297462. 끝."
송정옛길 통행 불편 신고,2023-09-02,답변완료,교통환경국 늘푸른과,"송정옛길 KT방항으로 나무가 쓰러져서 통행을 방해하고 있어 조치가 필요합니다.

※ 첨부파일 :
1693632826620.jpg","○ 평소 산림행정 업무에 관심을 가져주심에 감사드리며, 귀하께서 홈페이지에 신청하신 민원(신청번호 297126) “송정옛길 일원 산책로 내 도복목 제거 요청” 건에 대해 다음과 같이 회신드립니다.

○ 귀하의 민원내용은 “송정옛길 산책로에 나무 1본이 쓰러져 있어 시민들 통행에 지장을 주니 제거해 주길 바란다.”에 관한 것으로 이해됩니다.

○ 현장확인 결과, 귀하께서 말씀하신 도복목은 시민들 통행에 지장을 주지 않도록 처리 완료되어있었으며 자른 잔재물은 추후 처리해드릴 것임을 알려드립니다.

○ 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 늘푸른과 최소영주무관(☎ 051-749-4484)에게 연락주시면 친절히 안내해 드리겠습니다. 감사합니다. 끝.


붙임 2023년9월12일-a0-민원상담목록번호297126."
클럽디오아시스 수질관리 민원,2023-09-01,답변완료,문화관광경제국 문화관광과,"해운대 클럽디오아시스 수질개선을 요청합니다.
첨부파일은 야외수영장 (요트로 꾸며진 곳)입니다.
동영상 파일이 커 등록이 어려워 동영상 스크린샷으로 등록합니다.
수영장에 상당히 많은 애벌레가 있네요.
입속으로 들어가면 분명 탈이날텐데, 아이랑 같이 갈수없는곳입니다.

※ 첨부파일 :
Screenshot_20230901_092956_Gallery.jpg
Screenshot_20230901_093002_Gallery.jpg
Screenshot_20230901_092936_Gallery.jpg","1. 구정에 보내주신 관심에 감사드립니다. 귀하께서 [새올 상담민원]으로 문의하신 사항에 대하여 아래와 같이 답변드립니다.

2. 우선‘클럽 디 오아시스 수질 상태’는 주식회사 이도에서 운영·관리하는 사항으로 최상의 수질을 유지하기 위해 매일 자체 수질 점검 및 수중 청소를 진행하고 있음을 알려드립니다.

3. 귀하께서 제기해주신 내용은 당사의 노력에도 불구하고 외부에서 유입된 애벌레로 일시적으로 유입된 것으로 판단됩니다. 문제 해결을 위해 방역업체와 계약 체결하여 포충기 설치 및 정기 방역 작업을 통해 해충 유입을 막는등 적극적인 대비를 하고있음을 전달해드립니다.

4. 또한 해당 민원이 추가로 발생하지 않도록 조치 된 사진과 같이 수질개선을 위해 노력 중임을 알려드립니다.

5. 추가로 궁금한 사항이 있으시면 클럽디오아시스(☎051-954-8840) 또는 문화관광과 (☎051-749-4087)로 연락주시면 성실히 답변드리겠습니다. 감사합니다. 끝."
장산역 근처 바퀴벌레,2023-08-31,답변완료,보건소 보건정책과,"안녕하세요
장산역에서 해송초등학교방면,동백중학교 방면 도로에 바퀴벌레가 너무 많습니다
화단에서도 기어나오고 바퀴벌레 시체가 너무 많습니다
좌동 현대아파트 주변 도로에서는 매일 보고있습니다
방역 요청드립니다","1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 ‘도로 바퀴벌레 방역’에 관한 것으로 판단됩니다.
3. 귀하께서 요청하신 장소 및 주변 하수구, 화단 등에 대하여 9월 4일(월) 방역 소독을 실시하였으며, 지속적인 방역소독으로 불편 해소를 위하여 노력하겠습니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 향후 해충이 지속하여 대량 발생하거나 기타 문의사항이 있으시면 해운대구보건소 방역소독콜센터(☏051-749-0745)로 연락 주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.


붙임 2023년9월5일-a0-민원상담목록번호296824 1부. 끝."
반여1동 아시아선수촌 옆(인지초 건너) 도로공사 시설물 처리 불이행,2023-08-31,답변완료,도시안전국 건설과,"829 아시아선수촌아파트 도로공사 시설물들로 인한 사고로 유선상 담당자 통화하였으나 여전히 처리가 되지 않고 있습니다.
아이들이 개학을 해서 횡단보도를 이용할 일들이 많아졌는데
횡단보도 앞에 막 쌓아두신 벽돌과 틈 사이 정리할 방법이 없습니까? 아님 빨리 공사 마무리라도 하세요
다칠까봐 하루하루 불안합니다 어제도 틈사이에 발이 걸려 넘어질 뻔 하였습니다
당장 조치 부탁드립니다

※ 첨부파일 :
Screenshot_20230829_104946_Gallery.jpg","1. 귀하께서 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원내용은 “반여동 1627-2번지 주변 보도정비요청”에 관한 것으로 이해됩니다.

3. 건의해주신 도로공사 시설물 처리 건에 대하여는 금주 내 최대한 신속히 정비할 예정임을 알려드립니다.

4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 해운대구 건설과 최혁준 주무관(☏051-749-4704) 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.

붙임 1. 새올상담민원 1부.
2. 위치도 및 현장사진 1부. 끝."
