제목,작성일,답변상태,담당부서,민원내용,답변내용
도로 정비후 마무리 불편,2024-04-17,답변완료,도시관리국 건설과,"초읍동 보도 블럭 교체 공사후 작업한 다라이와 플라스틱 물통 버리고 간후 아직 수거 하지 않고 있습니다.
처리 부탁드립니다

※ 첨부파일 :
20240417_081717.jpg","우리 구 새올상담민원으로 접수된 민원사항에 대하여 아래와 같이 답변하고자 합니다.

1. 민원개요
가. 민원인: 하◯◯
나. 접수일: 2024.4.17.
다. 내 용: 보도공사 구간 뒷정리 요청

2. 답변내용
가. 안녕하십니까? 귀하께서 신청하신 상담민원에 대한 검토 결과를 다음과 같이 알려드립니다. 귀하의 민원 내용은 “새싹로 일원(초읍동) 보도정비공사 시행 후 뒷정리 요청””에 관한 것으로 판단되며,
나. 뒷정리 요청하신 사항에 대해서 금일(419) 정리 완료하였음을 알려드립니다.
다. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 부산광역시 부산진구청 건설과 김근호주무관(☏051-605-4694)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.


붙임 1. 새올상담민원 1부.
2. 위치도 및 현장사진 1부. 끝.

※ 첨부파일 :
위치도 및 현장사진.pdf"
정말 해결부탁드려요,2024-04-15,답변완료,안전교통국 주차관리과,"초읍동 기업은행 뒤편 주정차단속 후기로 형편성이 맞지않아 한번더 적어봅니다
기업은행 뒤쪽 주차장 쪽은 주정차 못하게 카메라 단속하시는데 초읍초등학교 정문쪽에서 오른쪽 예종유치원앞
도로도 역시 학교 인접한 도로인데 주정차단속 안 하시는지 궁금합니다
아이들이 오른쪽으로는 안다니고 왼쪽으로만 다니지 않다는걸 알아주시고..

그리고 지금 현재 주정차 단속중인 곳에 속도를 낮추기 위해 시인성 차로, 노란선 기타등등 말씀하셨는데
한두번 차량이 왔다갔다하면 과속방지턱이 그림만 되어있는거 다알고 더 생생 다닙니다
횡단보도 신호등 신호걸리면 기업은행 안으로 차량들이 들어와서 다이소로 나가는 차가 한두대가 아니고
속도는 어찌나 빠른지 알고 있는지요
이렇게 민원 넣는것도 너무 힘들지만 무슨일을 하시든 형편성에 맞게 한번을 일을 하시더라도 좀더 철저히
해주셨음 합니다

마지막으로 부탁말씀 한번 더 드리죠
성지로 94번 가길 8 , 성지로 94번 가길 9 현재 도로 상황 사진입니다
눈을 뜨고 다닐수가 없습니다
약을 치고 가시면 1~2일 다시 이런 상황이니 앞으로 여름이 무서워집니다
하수구에 무슨 문제가 있지않고서야 이럴수 있을까요

※ 첨부파일 :
KakaoTalk_20240415_230453519_01.jpg
KakaoTalk_20240415_230453519.jpg
KakaoTalk_20240415_230453519_02.jpg","1. 귀하께서 요청하신 “예종유치원 앞 도로 주정차 단속”에 대하여 아래와 같이 답변 드립니다.
가. 2024년 2월 1일부터 단속 시행 중인 “초읍초등학교 주변 다이소 불법주정차 단속 카메라”는 교차로 네 방향을 단속 중이며, 말씀하신 예종유치원 앞(후문) 도로도 단속하고 있음을 알려드립니다.
나. 그럼에도 해당구간에 발생하고 있는 불법주정차가 있을 경우, 단속차량 현장단속을 병행하여 어린이보호구역 내 불법주정차가 근절될 수 있도록 노력하겠습니다.
2. 답변내용에 대한 추가 설명이 필요할 경우, 부산진구 주차관리과 유하늘 주무관(☎605-4566)으로 연락주시기 바랍니다. 끝.
-----------------------------------------------------------------------

[협조부서] : 보건소 보건행정과 [답변일자] : 2024-04-18 09:00:11
[작성자] : 한미루 [전화번호] : 051-605-6007 [이메일] : alfn2130@korea.kr
[답변내용] :
1. 안녕하십니까? 귀하께서 신고하신 민원(민원번호202404152309380910)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원 내용은 “성지로94번 가길 8 ~9 일원 해충 방역”에 관한 것으로 판단되며 조치 결과는 다음과 같습니다.
○ 귀하께서 신고하신 해충 발생 지역은 2024. 4. 17.(수)에 ‘차량 동력분무, 연무, 살충제 투여’ 등의 방법을 사용하여 주변 소독을 실시하였습니다.
3. 기타 궁금한 사항 및 방역소독 관련 불편사항은 부산진구보건소 감염병대응계 한미루 주무관(☎605-6007)에게 문의하여 주시면 신속히 처리하도록 하겠습니다. 끝.
-----------------------------------------------------------------------

[협조부서] : 안전교통국 교통행정과 [답변일자] : 2024-04-23 17:48:44
[작성자] : 백상철 [전화번호] : 051-605-4557 [이메일] : bsc0924@korea.kr
[답변내용] :
1. 우리 구 교통행정에 많은 관심을 가져주셔서 감사드립니다.
2. 귀하의 민원 내용은 이미지 과속방지턱 교체 요청으로 판단됩니다.
3. 현재 설치된 이미지 과속방지턱을 과속방지턱으로 교체할 경우, 노후 주택에 전달되는 진동 및 소음 민원으로 인해 민원 발생 소지가 있어 설치가 어려움을 알려드립니다.
4. 또한, 초읍초등학교 어린이보호구역에 대해 시인성 강화 및 속도 저감 개선을 위해 기종점 노면표시, 노란색횡단보도, 보행친화적포장 설치가 계획되어 있으며, 추가로 속도 저감 방안을 검토하여 반영할 예정임을 알려드립니다.
5. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 부산진구청 교통행정과 백상철 주무관(☏051-605-4557)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝."
2건 민원상담 처리 해준다고하고 3개월이 넘어도 해주지 않는 이유를 밝혀 주세요,2024-04-15,답변완료,도시관리국 공원녹지과,"안녕하세요 2건 민원상담이 이루어 지지않아 재 요구 신청합니다 371932 (1월6일 벽산아파트옆 고원아파트 부근에서

정상소방도로까지 쓰레기가 그데로 방치되어 있고 (3개월이 넘음) 또 384818--2월28일 엄광산 청수약수터옆 정자밑 역도체육기구

앞 마당이 장마에 훼손되어 민원신청하였으나 달반이 넘도록 해준다고 하고 아직 그대로 있습니다 청소하고 간단히 담쌓는데

몇달씩 걸립니까 그리고 청수 약수터및 정자밑 작년에 파이프 연결한곳 뭅받이 구멍이 수십년 막혀서 다시 파이프교체 공사하고

작년부터 개인이 청소하는걸 원하지 않아서 그대로 방치되어서 흙과 돌이 막혀서 물이 땅바닥으로흘러내려 가고 있습니다 조속히

물받이 입구구멍 흙과 돌을 치워서 여름 장마에 대비하여 주시면 고맙겠습니다 (아래 첨부파일) 이곳은 수시로 청소해 주어야

막히지 않는곷입니다 조속히 공사하여 신뢰받는 공무원이 되었으면 합니다 그리고 가야공원 냉수탕앞 부근부터 벽산아파트부분

까지 수십년째 공원내( 山내) 전부 쓰레기 장이되어 있습니다 한번 보시고 처리해 주시면 합니다

※ 첨부파일 :
KakaoTalk_20240229_082702949.jpg
KakaoTalk_20240415_221806550.jpg","새올전자 민원창구 민원상담에 접수된 민원사항에 대하여 아래와 같이 답변하고자 합니다.

□ 민원내용
① 상담민원 접수번호 371932: 가야벽산@~고원@ 정상 임도 쓰레기 정비요청
② 상담민원 접수번호 284818: 엄광산 청수약수터 옆 체육시설 사면 정비요청
③ 전화민원: 청수약수터 및 정자 파이프 연결부 정비요청
④ 추가 민원사항: 가야공원(냉수탕 앞)~가야벽산@ 쓰레기 정비요청

□ 답변내용
1. 안녕하십니까 귀하께서 새올전자 민원창구를 통해 신청하신 민원(접수번호: 202404152220070899)에 대한 검토결과를 다음과 같이 알려드립니다.
- 민원 ③[전호민원: 청수약수터 및 정자 파이프 연결부 정비요청]은 4월 17일 집수정 설치 및 주변 정비를 완료하였으며,
- 민원 ①[상담민원(371932): 가야벽산@~고원@ 정상 임도 쓰레기 정비요청]과 민원 ④[추가 민원사항: 가야공원(냉수탕 앞)~가야벽산@ 쓰레기 정비요청] 은 4월 20일 엄광산 일대의 산지 정화 활동을 하였으며, 주기적인 순찰 및 정비를 통해 쾌적한 산림을 유지할 수 있도록 하겠습니다.
- 민원②[상담민원(284818): 엄광산 청수약수터 옆 체육시설 사면 정비요청3.23답변]는 역도 및 벤치 등 시설물 이동 후 사면 붕괴예방을 위한 편책작업을 5월중 실시예정입니다.
2. 질문에 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우 공원녹지과 박아영주무관(☎605-4547)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.


붙임 2024년4월23일-a0-민원상담목록번호396472 1부. 끝."
당감동 건물 공사 소음,2024-04-13,답변완료,문화경제국 환경위생과,"안녕하세요. 공사로 인한 소음 민원 넣습니다. 몇달째 매일 공사 소음이 일어나고 있고 주말 아침 7시부터 꾸준히 첨부한 소음이 나고 있습니다. 현장에 방음벽을 설치하거나 이른 시간 공사, 주말 공사는 피해달라 요청해주셨으면 합니다.

※ 첨부파일 :
13일 토 오전 9시.m4a
13일 토 오전 8시 58분.m4a","1. 환경보전을 위한 귀하의 관심과 노력에 감사드리며 소음으로 인하여 불편을 겪으시는 주민께 위로의 말씀을 드립니다.
2. 민원내용은 부산진구 부암동 대성빌딩 신축공사[시공사:㈜대상이엔지건설] 중에 주말에 발생하는 공사 소음으로 인한 불편으로 이해됩니다.
3. 현재 「소음·진동관리법」상 주말 공사를 하더라도 공사 미시행을 강제하기는 어려우나 공사 관계자에게 소음불편사항이 지속적으로 발생하고 있다는 사실을 안내하고 소음 저감방안(작업시간 및 작업방법 조정 등) 강구 후 시공하여 주민 생활불편사항이 저감될 수 있도록 행정지도 하였음을 알려드립니다.
4. 또한 특정장비(고소음 장비) 사용 시간을 준수하여 인근 주민에 소란하지 않게 공사하도록 행정지도 하였습니다.
5. 민원에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이나 궁금하신 점이 있으신 경우 부산진구 환경위생과(홍지언 주무관 ☎051-605-4395)로 연락주시면 성실히 답변 드리겠습니다. 감사합니다."
가야 동의대역 현대힐스테이트 공사현장 불법주차,2024-04-12,답변완료,안전교통국 주차관리과,"동의대역 힐스테이트 공사현장에 매일 아침일찍부터~낮시간까지 큰 중장비차량이 불법주차로 도로를 점령하고 있어 너무 불편합니다.
그곳은 아침시간 초등학생,중학생의 등교길이기도 하고 하교길이기도 합니다. 커다란 차량이 양쪽으로 주차가 되어있어 시야를 방해하니
아이들이 건너려다 달려오는 차에 뒷걸음질도 많이 치는 것을 보았고, 저 또한, 불안해서 아이를 혼자 등교시킬 수 없는 상황입니다.
제가 건너려고 할 때에도 갑자기 와있는 차에 깜짝 놀랄 떄도 많이 있었습니다.
하루이틀이 아니라 몇달째 지속되어 민원신청하게 되었습니다. 도로위 불법주차관련 개선조치 부탁드립니다.

※ 첨부파일 :
Resized_20240412_081933_1712881994428.jpeg
Resized_20240412_081925_1712881994690.jpeg","1. 귀하께서 신청하신 불법주정차 신고 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
가. 먼저, 불법주정차 차량으로 인해 도로 교행에 불편함을 드린 점 대단히 죄송하게 생각합니다.
나. 가야 동의대역 힐스테이트 공사현장 주변 불법주정차 차량에 대한 계도 또는 현장단속을 조치토록 하겠으며, 불법주정차 단속 운영시간은 평일(07:00~22:00), 토.일.공휴일(10:00~18:00)이고, 평일 09:00~18:00 에는 주차관리과(☎051-605-4561~7), 평일 아침(07:00~09:00)과 저녁(18:00~접수마감시), 토·일·공휴일(10:00~접수마감시)에는 구청당직실(051-605-4222)로 신고하시면 보다 신속하게 조치하도록 하겠습니다.

3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 부산진구 주차관리과 원종호 주무관(☎051-605-4561)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝."
거제천로 44번길 공사소음,2024-04-12,답변완료,문화경제국 환경위생과,"지난 주부터 거제천로 44번길에서 진행 중인 공사 때문에 심각한 소음 공해가 발생하고 있습니다.
이 때문에 노이즈 캔슬링 헤드셋까지 구매하였으나, 소음에 정도가 지나쳐 일상에 지장을 받고 있습니다.
소음 측정기 어플로 소음을 측정한 결과, 집안과 집 밖 모두 80dB이 넘었습니다.
이에 대한 해결 조치를 부탁 드리고자 민원을 신청합니다.

※ 첨부파일 :
KakaoTalk_20240412_104303408_02.jpg
KakaoTalk_20240412_104303408_01.jpg
KakaoTalk_20240412_104303408_04.jpg","1. 환경보전을 위한 귀하의 관심과 노력에 감사드리며 귀하께서 신청하신 민원에 대한 현장확인 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원 내용은 부산진구 양정동 249-1번지[양정동 오피스텔 신축공사][시공사: 오름종합건설] 현장에서 발생하는 소음으로 인한 불편에 관한 것으로 판단됩니다. 공사관계자에게 민원사항 전달 및 작업 시 작업자 교육, 장비 출력 조정, 작업 시간 조정 등을 통하여 소음 저감토록 행정지도 하였음을 알려드립니다.
3. 소음피해가 지속될 경우, 측정 요청을 해주시면 민원인 댁을 방문하여 소음측정을 통한 「소음·진동관리법」 별표 8의 생활소음규제기준 준수 여부 등을 확인하여 결과에 따라 조치토록 하겠습니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요하거나 기타 궁금한 사항은 부산진구 환경위생과(김희현 주무관 ☎051-605-4391)로 연락해 주시기 바랍니다. 감사합니다."
양동초 후문 공사 등교시간에 해야합니까?,2024-04-12,이송이첩,"※ 연계처리내역 : 민원상세보기(원본)
 * 추천기관 : 부산광역시교육청
 * 이송(추천)사유 : 해당 민원은 귀 기관에서 처리할 사항으로 판단되어 민원처리에 관한 법률 제16조에 따라 이송합니다.

[담당자:이다정, 연락처:051-605-4294]
 * 처리상태 : 이송이첩

※ 아래 답변이 안보일 경우 위의 민원상세보기(원본)을 클릭하여 확인해 주시기 바랍니다.
  - 연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다.","양동초등학교 후문 바로 옆 공사중이던데,
꼭 아이들 등교 시간에 공사를 해야하나요?
그것도 등교 하는 길 바로 옆에서요.
위험인지를 저만 느끼는건가요?
포크레인 작업중 돌이라도 떨어질까 걱정됩니다.
시간대 조절 부탁드립니다.

※ 첨부파일 :
IMG_5876.jpeg",없음
공개공지 내 시설물 변경을 하고자 할때 절차가 어떻게 되나요,2024-04-11,답변완료,도시관리국 건축과,공개 공지 안에 있는 수목과 화단 을 이전 혹은 다른시설(쉼터등등) 으로 변경하고자 할때 필요한 절차가 어떻게 되는지 알고 싶습니다,"1. 평소 구정 발전에 관심을 가지고 참여하여 주심에 깊이 감사드립니다.
2. 귀하의 민원내용은 공개공지 변경 절차를 질의하시는 것으로 이해되며, 우리 구 답변 내용은 다음과 같습니다.
○「건축법」 및 부산광역시 조례 등 공개공지 관련 법령에는 공개공지의 변경에 관한 사항을 명시하여 두고 있지는 않으나,
○ 부산광역시 공개공지 설치 가이드라인에 따른 공개공지 변경 신고서 및 구비서류[대지 및 건축물의 소유자임을 증명하는 서류, 공개공지 관리대장(전·후), 공개공지 변경 도면 등]를 첨부하여 제출하실 경우 공개공지 변경 신청이 가능합니다.
○ 다만, 공개공지 변경 시,「건축법」제43조, 같은 법 시행령 제27조의2 및 부산광역시 건축 조례 제48조에 따른 공개공지 설치기준 등을 종합적으로 검토하여 변경 가능 여부를 결정하여야 할 사항임을 알려드립니다.
3. 답변 내용에 대한 추가 설명이 필요한 경우 부산진구 건축과(☏051-605-4595)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.

※ 첨부파일 :
공개공지 변경 신고서.pdf"
가로등 설치가 시급합니다,2024-04-11,답변완료,도시관리국 창조도시과,"부산광역시 부산진구 중앙대로979번길 17-7 (양정동, 해강쉐르빌)에 거주하고 있는 세입자입니다.
첨부한 사진과 같이 골목을 들어서는 입구가 매우 어두워 거주자로서
늦은 밤 골목을 지나가기가 매우 위험하고 두려움을 느낍니다
밝은LED 가로등을 설치하여 어둡고 외진 길이 없도록 하여 주시길 간곡히 요청드립니다

※ 첨부파일 :
캡처12345.JPG",민원 답변 연계
동의대역 힐스테이 공사현장 옆 덤프트럭,2024-04-09,답변완료,안전교통국 도로관리과,"동의대역 공사현장으로 들어가는 덤프트럭이 줄지어 서있는 길이 3차선인데
1차로는 수정터널 2.3차로는 동의대.개성중. 가야중~학교로 올라가거나
롯데캐슬과 반도 보라 아파트로 가는 차들이 항상 많은 구역입니다.
특히 횡단보도가 있어 항상 학생과 동네 분들 출근길이기도 하구요
공사장 진입하는 차량만 관리하시는분이 계시고 모퉁이 횡당보도. 덤프트럭
줄 끝트머리 에는 안내하시는 분이 안 계시네요.
매일 그길로 통학하는 아이들이 걱정됩니다","1. 안녕하십니까? 귀하께서 제기하신 민원에 대해 다음과 같이 알려드립니다.

2. 귀하의 민원내용은 동의대역 힐스테이 공사현장 안전관리 요청“에 관한 것으로, 현장 확인 및 현장 소장에게 신호수 추가 배치 등 보행자 안전사고 방지를 위해 대책 마련에 철저토록 강력히 행정지도 하였음을 알려드립니 다.

3. 답변사항에 대하여 궁금한 사항이 있을 경우, 부산진구 도로관리과 김병희 주무관(☏051-605-4792)에게 연락주 시면 친절히 안내해 드리도록 하겠습니다. 감사합니다."
성지로153번길 새로 설치한 산책로 데크 하자건,2024-04-07,답변완료,복지교육국 복지정책과,"위치는 사진을 확인하시면 됩니다.
24년 금년에 설치한 산책로 나무데크에 크랙(갈라짐)이 있는곳이 몇군데 있습니다.
윗쪽부분이기 때문에 비가오고 햇볓에 노출이 많이 되는 곳이라서 갈라진곳을 교체하지 않으면
얼마안가서 나무가 뒤틀려서 파손이 될것 같습니다.
발주받은 업체에 연락하시어 몇군데 안되니 빠른시일내에 교체 부탁드립니다.
쉽게 교체가능한 곳임(그리고 오일스텐도 반드시 칠할것)

성지로 153번길 도로 우측산 산책로 나무데크 계단 윗쪽

※ 첨부파일 :
20240407_145547.jpg
20240407_145507.jpg
20240407_145604.jpg","1. 구정 현안에 관심을 가져주셔서 감사합니다.
2. 귀하께서 말씀해 주신 산책로 데크 크랙을 포함하여 전반적인 하자점검을 5월 중으로 실시할 계획이며 조속히 처리하여 산책로를 이용하는 주민이 불편함이 없도록 하겠습니다.
4. 기타 궁금하신 사항은 부산진구 복지정책과 051-605-4314로 연락해 주시면 답변드리겠습니다.

붙임 민원상담내역 1부. 끝."
부산진구 부암동 오피스텔 신축공사 (작업개시 시간 미준수),2024-04-06,답변완료,문화경제국 환경위생과,"작업개시 시간 미준수로 인한 소음 진동 발생, 특정공사 사전신고 증명서에는 07:00 이후 작업개시로 되어 있으나 07:00전 토사반출로 인한 소음 발생","1. 환경보전을 위한 귀하의 관심과 노력에 감사드리며 소음으로 인하여 불편을 겪으시는 주민께 위로의 말씀을 드립니다.
2. 민원내용은 부산진구 부암동 오피스텔 신축공사[시공사:㈜대우건설] 중에 주말에 발생하는 공사 소음으로 인한 불편으로 이해됩니다.
3. 현재 「소음·진동관리법」상 주말 공사를 하더라도 공사 미시행을 강제하기는 어려우나 공사 관계자에게 소음불편사항이 지속적으로 발생하고 있다는 사실을 안내하고 소음 저감방안(작업시간 및 작업방법 조정 등) 강구 후 시공하여 주민 생활불편사항이 저감될 수 있도록 행정지도 하였음을 알려드립니다.
4. 또한 특정장비(고소음 장비) 사용 시간을 준수하여 인근 주민에 소란하지 않게 공사하도록 행정지도 하였습니다.
5. 민원에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이나 궁금하신 점이 있으신 경우 부산진구 환경위생과(홍지언 주무관 ☎051-605-4395)로 연락주시면 성실히 답변 드리겠습니다. 감사합니다."
래미안 어반파크 버스정류장 이전 반대 및 명칭 변경 반대,2024-04-06,이송이첩,"※ 연계처리내역 : 민원상세보기(원본)
 * 추천기관 : 부산광역시
 * 이송(추천)사유 : 해당 민원은 귀 기관에서 처리할 사항으로 판단되어 민원처리에 관한 법률 제16조에 따라 이송합니다.

[담당자:이다정, 연락처:051-605-4294]
 * 처리상태 : 이송이첩

※ 아래 답변이 안보일 경우 위의 민원상세보기(원본)을 클릭하여 확인해 주시기 바랍니다.
  - 연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다.","래미안 어반파크 버스 정류장 이전을 반대합니다.
명칭 변경 또한 반대합니다.

이유는 형평성이 맞지 않기 때문입니다.

먼저 래미안 어반파크 정류장 이전 하는 이유가 우회전 방해라고 합니다.
그럼 그 우회전을 막는다는 도로인 동평로 291번길에 물려있는 화인아파트 버스정류장(05032)을 보십시요.

왜 같은 도로 라인(동평로 291번길)의 화인아파트 정류장(05032)도 같은 이유로 이전 하지 않는겁니까?
그리고 명칭도 왜 화인아파트 정류장 명칭을 사용하는겁니까?
같은 도로라인의 버스정류장을 고려해 봤을 때, 래미안 어반파크 정류장 이전과 명칭변경은 형평성에 어긋한 조치라 생각됩니다.
래미안 어반파크 버스 정류장 위치와 명칭을 현재 그대로 유지해 주시길 바랍니다.

※ 첨부파일 :
지도.png",없음
주례 초등학교 공사 건,2024-04-06,이송이첩,"※ 연계처리내역 : 민원상세보기(원본)
 * 추천기관 : 부산광역시교육청
 * 이송(추천)사유 : 해당 민원은 귀 기관에서 처리할 사항으로 판단되어 민원처리에 관한 법률 제16조에 따라 이송합니다.

[담당자:이다정, 연락처:051-605-4294]
 * 처리상태 : 이송이첩

※ 아래 답변이 안보일 경우 위의 민원상세보기(원본)을 클릭하여 확인해 주시기 바랍니다.
  - 연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다.","안녕하세요 저희 친정 엄마께서 거주 중 인 가야 국민주택 A500호 부엌찬장 내려앉은 피해보상 민원 질의드립니다
저희 친정엄마께서 2014년 주택 전체 리모델링 후 조금만 문제가 있어도 보수공사 등등 안전환경에 가장 많은 시간을 공들이며 살고 계신 주택입니다
주례 초등학교 그린스마트 리모델링 신축공사는 23년 여름을 시작으로 공사하더니 그 공사가 끝나자 지금의 공사플래카드를 붙이며 공사를 하고 있으며(23년 12월 2일~24년 12월 4일) 주말인 오늘도 공사를 오후 3시까지 했습니다 공사현장과 국민주택은 100M 안쪽의 거리에 위치하지만 소음과 먼지 그리고 계속되는 진동으로 당연히 가져야 하는 주거 행복권 깨끗한 공기를 맡을 수 있는 공기 행복권 등 개인 행복권에 대한 침해를 가했습니다 작년여름부터 현재까지 9개월을 참아왔고 더 참고 있어야 합니다
친정엄마는 천식으로 고생하시다가 뇌출혈로 백병원에 24년 3월 21일 응급실로 입원하셨고 다행히 24년 4월 5일 퇴원허락을 받았습니다
아직 어지러움이 있어서 금요일 퇴원을 월요일로 미뤘습니다 퇴원 허락을 받은 4월 5일 국민주택 이웃집에서 무너지는 소리를 듣고 저희 집 부엌찬장이 무너져 내렸다고 연락이 왔습니다
친정엄마께서 금요일퇴원했으면.. 생각만 해도 정말 아찔합니다
공사업체와 주례초등학교에 부엌 싱크대 원상복구와 정신적 피해 보상을 요청합니다

※ 첨부파일 :
20240406_134645.jpg",없음
부산진구 중앙대로970번가길 18 병 분리수거 요청,2024-04-05,답변완료,문화경제국 자원순환과,"수고하십니다

부산진구 쓰레기 분리배출 요일에 맞춰 화요일 병 쓰레기를 집 앞에 내어 놓았는데
수거가 되지않았습니다

처리 부탁드립니다

※ 첨부파일 :
2024-04-05-08-15-34-121.jpg","새올전자민원창구 민원상담(접수번호: 202404050816048157)에 대하여 아래와 같이 답변코자 합니다.

□ 민 원 인 : 조 0 0
□ 민원내용 : 쓰레기(잡병) 미수거 관련
□ 답변내용
○ 평소 구정업무에 많은 관심을 가져주셔서 감사드립니다.
○ 귀하께서 제기하신 쓰레기 미수거와 관련하여, 해당 구역 대행업체에 연락하여 쓰레기 수거를 완료 하였습니다. 앞으로 불편사항이 발생하지 않도록 노력하겠 습니다.
※ 양정2동 청소대행업체 : ㈜화성환경(☎809-1864)
○ 기타 궁금하신 사항은 부산진구 자원순환과(☎605-4432)로 문의하시면 친절히 안내드리겠습니다. 끝."
가야롯데캐슬 골드아너아파트 단지내 통행이 불법인가요?,2024-04-04,답변완료,도시관리국 건축관리과,"가야롯데캐슬 골드아너아파트가 생기기 전부터 그 동네 골목길로
동네를 다니곤 했는데 아파트가 지어지고 나서는 아파트 단지 내를 통해서
67번버스정류장도 가고, 대각선으로 가야대로로 내려가기도 합니다.
아파트 건물안은 당연히 비밀번호가 있는 현관으로 철저히 외부사람이
통제되고 있습니다.
그런데 최근 아파트단지로 진입할수 있는 모든 입구를 봉쇄하는 구조물을
설치하고 있네요.
버스정류장을 둘러가야하는데 수십년전부터 이제껏 잘 다니던 길인데
새아파트가 들어서고 나서 저지를 당한다 생각하니 뭔가 불합리하다는
생각이 드네요.
1.아파트 단지내에 외부 사람이 통행하는것이 불법인지요?
2.그렇다면 아파트 짓기전 십수년을 다니던 골목길인데 왜 저는 그 권리를
빼앗겨 둘러다니는 불편을 겪어야하는건지요?
3. 내가 살고 있는 아파트도, 인근의 어떤 아파트도 건물안은 통제해도
단지내를 통제하여 통행을 제한하진 않습니다.
4. 예를들어 가야대로에서 아파트단지내에 있는 김밥집이나 편의점을
이용하고자하는데 아파트 단지내로 통행이 안되서 빙 둘러 한참을 걸어서
외부로 가게를 이용해야합니까?
5.통행을 불가능하게 하려는 아파트측의 통행불가 조치가 과연 합법적인건지
알려주세요.","1. 투명하고 신뢰받는 공동주택 관리문화 정착을 위해 노력하는 부산진구입니다.

2. 귀하의 민원에 대하여 다음과 같이 답변합니다.
？ 공동주택 단지 안의 보행로의 경우 누구에게나 통행의 자유가 있다고 하더라도 사유지이므로 공동주택 관리주체 측이 아파트 입주민을 제외하고 외부인의 통행을 제한하는 문제는 우리 구에서 관여할 사안이 아님을 알려드립니다.
3. 기타 문의사항은 부산진구 건축관리과(☎051-605-6432)로 연락해 주시기 바랍니다. 끝."
당감동 백양로교회앞 버스정류장(정류소 번호 : 05094) 교통문제 건,2024-04-02,이송이첩,"※ 연계처리내역 : 민원상세보기(원본)
 * 추천기관 : 경찰청
 * 이송(추천)사유 : 해당 민원은 귀 기관에서 처리할 사항으로 판단되어 민원처리에 관한 법률 제16조에 따라 이송합니다.

[담당자:이다정, 연락처:051-605-4294]
 * 처리상태 : 이송이첩

※ 아래 답변이 안보일 경우 위의 민원상세보기(원본)을 클릭하여 확인해 주시기 바랍니다.
  - 연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다.","안녕하세요,
당감동 백양로교회앞 버스정류장(정류소 번호 : 05094) 주변의 횡단보도와 1,2차선 도로 교통문제 건의 드립니다.
평일 오전 8시경 출근시간 백양터널 방향 교통체증이 심각한 상황입니다.
인도와 근접한 도로가 막혀있다보니 횡단보도 차선(2차선)은 늘 차로 막혀있습니다.
초록불로 신호를 건너려고 보면 1차선의 차가 신호위반도 다반사입니다.
정차선이 뒤편에 있다보니 정차를 뒤에서 하지 않고 매번 달려오는 차가 많고 관리가 되지 않아 언제 사고가 나도 이상하지 않은 상황입니다

중학교 앞이다 보니 학생들도 많고, 어르신분들도 많은데 전혀 관리 되지가 않고 신호위반과 무질서한 교통이 위험한 상황입니다.

금일 (20240402) 오전 8시 10분 - 20분 사이의 CCTV를 한 번 확인하시어
출근 및 등교 시간에 교통 상황을 봐주시길 바랍니다.

(해당 시간의 CCTV 꼭 확인 부탁드립니다.
금일의 경우, 덤프트럭이 횡단보도를 아예 막아버려 앞으로 가로질러 가려다가 신호위반 아반떼로 인해서 사고가 날 뻔 했습니다.
1번째 덤프트럭이 횡단보도를 막은 점,
2번째 그로인해 2차선의 차가 보이지 않았고,
3번째 횡단보도를 건너려고 하니 신호위반 차량으로 인해서 사고 유발)

해당 시간대에 교통 경찰을 배치하거나 처치 부탁 드립니다",없음
