고유 식별자,조례명,관할 지자체명,조문 계층 경로,동일 조문 계층 경로 내 청크 순서,실제 본문 내용 (조문 텍스트),조문 제목 (있을 경우),상위 조문번호,근거법령명,제·개정·시행일자,조례 분야,원문 페이지 URL,비고
SAHA-TRAFFIC-877-13-01,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제13조-1항,1,(시행일) 이 규칙은 공포한 날부터 시행한다.,대행업체의 지정취소,제13조,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=006&menuNm=main,행정·시설 기준
SAHA-TRAFFIC-877-13-02,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제13조-2항,1,"제1항에 필요한 사항은 규칙 제24조 및 제25조에 따른다.<개정 2020.4.10.>


부     칙",대행업체의 지정취소,제13조,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=005&menuNm=main,행정·시설 기준
SAHA-TRAFFIC-877-13-02,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제13조-2항,1,"(경과조치) 이 규칙 시행당시 종전의 규정에 의한 견인구역은 구청장의 별도 구역고시가 있을 때
까지 적용하며, 기존 대행업체는 이 규칙에 의거 지정된 것으로 본다.",대행업체의 지정취소,제13조,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=004&menuNm=main,적용범위
SAHA-TRAFFIC-877-01,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제1조,1,"이 규칙은 「도로교통법」(이하 ""법""이라 한다)·동법시행령(이하 ""영""이라 한다) 및 동법시행규칙(이하 ""규칙""이라 한다)의 규정에 의하여 주차위반차량의 견인 및 견인대행업체의 지정 및 관리에 필요한 사항을 규정함을 목적으로 한다. <개정 2005.6.22>",목적,,도로교통법,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=003&menuNm=main,총칙·목적
SAHA-TRAFFIC-877-01,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제1조,1,이 규칙은 공포한 날부터 시행한다.,시행일,,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=002&menuNm=main,
SAHA-TRAFFIC-877-02,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제2조,1,"법 제36조의 규정에 의하여 부산광역시사하구청장(이하 ""구청장""이라 한다)은 민간대행업체(이하 ""대행업체""라 한다)로 하여금 차량의 견인.보관 및 반환업무를 대행하게 할 수 있다. <개정 2009.6.10>",차량의 견인,,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=001&menuNm=main,
SAHA-TRAFFIC-877-03,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제3조,1,주차위반차량의 견인구역은 구청장이 고시하는 지역으로 한다.,견인구역,,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=000&menuNm=main,
SAHA-TRAFFIC-877-04,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제4조,1,"대행업체는 1개업체를 원칙으로 하되, 시설관리공단을 대행업체로 지정한 경우와 구청장이 필요하다고 인정하는 경우에는 1개업체 이상으로 할 수 있다.",대행업체의 지정,,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=001&menuNm=main,행정·시설 기준
SAHA-TRAFFIC-877-05,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제5조,1,"대행업체는 다음 각 호의 자격요건을 갖추어야 한다.
  1. 「화물자동차 운수사업법」 제4조의 규정에 의한 결격사유가 없는 개인 또는 법인 <개정 2005.6.22>
  2. 「화물자동차 운수사업법」 제3조 및 동법시행령 제3조의 규정에 의한 화물자동차 운송사업 등록을 한 자 <개정 2005.6.22>",대행업체의 자격요건,,화물자동차 운수사업법,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=002&menuNm=main,
SAHA-TRAFFIC-877-06-01,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제6조-1항,1,대행업체는 주차위반차량의 견인이동.보관및 반환업무를 수행하여야 한다.,대행업체 업무의 범위,제6조,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=003&menuNm=main,
SAHA-TRAFFIC-877-06-02,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제6조-2항,1,대행업체는 제1항의 규정에 의하여 주차위반차량을 견인하고자 할 때에는 주차단속공무원이 견인 이동토록 견인대상차량표지를 부착한 차량에 한한다.,대행업체 업무의 범위,제6조,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=002&menuNm=main,
SAHA-TRAFFIC-877-07,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제7조,1,대행업체의 사무소는 부산광역시내에 두어야 한다.,사무소,,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=001&menuNm=main,
SAHA-TRAFFIC-877-08-01,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제8조-1항,1,"주차위반차량을 견인하고자 할 때에는 별지 제1호서식의 ""견인 통지서""를 그 차의 사용자 또는 운전자(이하 ""사용자등""이라 한다)가 쉽게 알아 볼 수 있는 주변장소에 훼손되지 않도록 견고하게 부착해야 한다. 다만, 부착이 곤란한 경우 인근 상가등에 알려서 그 차의 사용자 등에게 견인통지서를 전달하도록 협조를 구할 수 있다.",주차위반차량의 견인·보관 및 반환을 위한 조치,제8조,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=000&menuNm=main,
SAHA-TRAFFIC-877-08-02,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제8조-2항,1,"주차위반으로 견인되는 차(이하 ""피견인차""라 한다)는 이동중 도로교통에 방해를 최소화 하고 견인행정의 신뢰성을 위하여 이동 도중에는 반환할 수 없다. 다만, 견인 장착중 또는 견인차가 출발하기 전에 사용자 등이 반환을 요구할 경우에는 과태료 부과대상 임을 알리고, 주의 촉구 후 과태료를 징수하지 않고 즉시 반환하여야 한다.",주차위반차량의 견인·보관 및 반환을 위한 조치,제8조,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=001&menuNm=main,용어 정의
SAHA-TRAFFIC-877-08-03,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제8조-3항,1,"견인업무를 수행하는 자는 피견인차의 이동 즉시 별지 제2호서식의 ""견인사항통보서""를 구청장에게 송부하여야 한다.",주차위반차량의 견인·보관 및 반환을 위한 조치,제8조,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=002&menuNm=main,
SAHA-TRAFFIC-877-08-04,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제8조-4항,1,"견인업무를 수행하는 자는 별지 제3호서식의 ""주차위반시 견인처리대장""을 비치하여 견인에 대한 내용을 기록·관리하여야 한다.",주차위반차량의 견인·보관 및 반환을 위한 조치,제8조,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=003&menuNm=main,위탁·관리
SAHA-TRAFFIC-877-09-01,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제9조-1항,1,구청장은 견인업무에 종사하는 자에게 업무와 관련하여 교육을 명할수 있다.,견인대행업체 종사자교육등,제9조,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=004&menuNm=main,
SAHA-TRAFFIC-877-09-02,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제9조-2항,1,"견인업무종사자는 견인관련 교통법규는 물론 단정한 복장으로 공정,신속,친절하게 업무처리를 하여 민원이 발생치 않도록 하여야 한다.",견인대행업체 종사자교육등,제9조,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=005&menuNm=main,
SAHA-TRAFFIC-877-09-03,부산광역시 사하구 견인대행업체 지정 및 관리 규칙,부산광역시 사하구,제9조-3항,1,"견인업무종사자는 피견인차의 상태나 차내의 소지품등을 확인하고, 필요시 사진촬영을 하여 사용자 등에게 시비의 우려가 없도록 하여야 한다.",견인대행업체 종사자교육등,제9조,,2020-04-10,교통·단속,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380138248002&histNo=006&menuNm=main,
SAHA-TRAFFIC-1429-99,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,부칙,1,"부  칙
이 조례는 공포한 날부터 시행한다.",부칙,,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=005&menuNm=main,부칙
SAHA-TRAFFIC-1429-99,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,부칙,2,"부   칙 <2010.10.1 부산광역시 사하구 소속 위원회 구성 및 운영에 관한 조례 제815호>
제1조(시행일) 이 조례는 공포한 날부터 시행한다.
제2조(경과조치) 이 조례 시행 당시 운영중인 위원회 위원의 임기는 제4조제3항의 
규정에도 불구하고 남은 기간으로 한다.
제3조(다른 조례의 폐지) 생략
제4조(다른 조례의 개정) ①~⑪  생략
⑫「부산광역시 사하구 교통안전정책심의위원회 운영 조례」일부를 다음과 같이
개정한다.
제10조 중 ""「부산광역시 사하구 위원회 실비변상 조례」""를 ""「부산광역시 
사하구 소속 위원회 구성 및 운영에 관한 조례」""로 한다.
⑬~19항  생략",부칙,,"부산광역시 사하구 교통안전정책심의위원회 운영 조례 / 부산광역시 사하구 위원회 실비변상 조례 / 부산광역시 
사하구 소속 위원회 구성 및 운영에 관한 조례",2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=006&menuNm=main,부칙
SAHA-TRAFFIC-1429-99,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,부칙,3,"부칙<2012. 2. 23 조례 제866호>
제1조(시행일) 이 조례는 공포한 날부터 시행하되, 감사실에 대해서는 2012년 6월 30일부터 적용한다.
제2조(다른 조례의 개정) ① ~ ⑫
⑬ 부산광역시 사하구 교통안전정책심의위원회 운영 조례 제3조제2항제1호 중 “기획감사실장”을 “기획실장”으로 한다.
⑭ 생략",부칙,,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=007&menuNm=main,부칙
SAHA-TRAFFIC-1429-99,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,부칙,4,"부칙 <2013. 6.13. 조례 제892호>
제1조(시행일) 이 조례는 2013년 7월 1일부터 시행한다.
제2조(다른 조례의 개정) ① ～ ⑨ 생략 
⑩ 부산광역시 사하구 교통안전정책심의위원회 운영 조례 제3조제2항제1호 중 “도시국장”을 “도시관리국장”으로 한다.
⑪ ～ ? 생략",부칙,,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=008&menuNm=main,부칙
SAHA-TRAFFIC-1429-99,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,부칙,5,"부칙 <2013. 6.25. 조례 제900호>
제1조(시행일) 이 조례는 2013년 7월 1일부터 시행한다.
제2조(다른 조례의 개정) ① ～ ⑥ 생략 
⑦ 부산광역시 사하구 교통안전정책심의위원회 운영 조례 제3조제2항제1호 중 “도시관리국장”을 “안전도시국장”으로 한다.",부칙,,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=009&menuNm=main,부칙
SAHA-TRAFFIC-1429-99,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,부칙,6,"부칙<2022. 5. 16, 조례 제1429호> (부산광역시 사하구 행정기구 설치 조례)
제1조(시행일) 이 조례는 2022년 7월 1일부터 시행한다.
제2조(다른 조례의 개정) ① ～ ⑧ 생략 
⑨ 부산광역시 사하구 교통안전정책심의위원회 운영 조례 일부를 다음과 같이 개정한다.
제3조제2항제1호 중 “안전도시국장”을 “교통환경국장”으로 한다.",부칙,,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=010&menuNm=main,부칙
SAHA-TRAFFIC-1429-10,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,제10조,1,"구청장은 회의에 참석하는 위원에게는 「부산광역시 사하구 소속 위원회 구성 및 운영에 관한 조례」에 따라 예산의 범위 안에서 수당 및 여비를 지급할 수 있다. <개정 2010.10.1>


부  칙
이 조례는 공포한 날부터 시행한다.

부   칙 <2010.10.1 부산광역시 사하구 소속 위원회 구성 및 운영에 관한 조례 제815호>",수당 등,,부산광역시 사하구 소속 위원회 구성 및 운영에 관한 조례,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=011&menuNm=main,위원회 운영
SAHA-TRAFFIC-1429-01,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,제1조,1,"이 조례는 「교통안전법」 제13조, 같은 법 시행령 제8조에 따라 부산광역시 사하구 교통안전정책심의위원회를 설치하고 그 운영에 필요한 사항을 규정함을 목적으로 한다.",목적,,교통안전법,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=012&menuNm=main,총칙·목적
SAHA-TRAFFIC-1429-01,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,제1조,1,이 조례는 공포한 날부터 시행한다.,시행일,,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=013&menuNm=main,
SAHA-TRAFFIC-1429-01,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,제1조,1,"이 조례는 공포한 날부터 시행하되, 감사실에 대해서는 2012년 6월 30일부터 적용한다.",시행일,,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=014&menuNm=main,적용범위
SAHA-TRAFFIC-1429-01,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,제1조,1,이 조례는 2013년 7월 1일부터 시행한다.,시행일,,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=015&menuNm=main,
SAHA-TRAFFIC-1429-01,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,제1조,1,이 조례는 2013년 7월 1일부터 시행한다.,시행일,,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=016&menuNm=main,
SAHA-TRAFFIC-1429-01,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,제1조,1,이 조례는 2022년 7월 1일부터 시행한다.,시행일,,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=017&menuNm=main,
SAHA-TRAFFIC-1429-02,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,제2조,1,"부산광역시 사하구 교통안전정책심의위원회(이하 “위원회”라 한다)는 다음 각 호의 사항을 심의ㆍ의결한다.
  1. 지역교통안전기본계획과 실행계획
  2. 교통사고 다발 및 위험지역에 대한 개선지역 확정
  3. 각 기관의 주요 교통안전시책 결정 및 추진상황 확인
  4. 교통안전시설 설치 및 개선대책
  5. 대형 교통사고 감소대책 및 안전교육·홍보계획 등",기능,,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=018&menuNm=main,위원회 운영
SAHA-TRAFFIC-1429-02,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,제2조,1,"이 조례 시행 당시 운영중인 위원회 위원의 임기는 제4조제3항의 
규정에도 불구하고 남은 기간으로 한다.",경과조치,,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=019&menuNm=main,위원회 운영
SAHA-TRAFFIC-1429-02-10,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,제2조-10항,1,부산광역시 사하구 교통안전정책심의위원회 운영 조례 제3조제2항제1호 중 “도시국장”을 “도시관리국장”으로 한다.,다른 조례의 개정,제2조,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=020&menuNm=main,위원회 운영
SAHA-TRAFFIC-1429-02-10,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,제2조-10항,1,부산광역시 사하구 교통안전정책심의위원회 운영 조례 제3조제2항제1호 중 “도시국장”을 “도시관리국장”으로 한다.,다른 조례의 개정,제2조,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=021&menuNm=main,위원회 운영
SAHA-TRAFFIC-1429-02-10,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,제2조-10항,1,부산광역시 사하구 교통안전정책심의위원회 운영 조례 제3조제2항제1호 중 “도시국장”을 “도시관리국장”으로 한다.,다른 조례의 개정,제2조,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=022&menuNm=main,위원회 운영
SAHA-TRAFFIC-1429-02-13,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,제2조-13항,1,부산광역시 사하구 교통안전정책심의위원회 운영 조례 제3조제2항제1호 중 “기획감사실장”을 “기획실장”으로 한다.,다른 조례의 개정,제2조,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=023&menuNm=main,위원회 운영
SAHA-TRAFFIC-1429-02-14,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,제2조-14항,1,"생략

부칙 <2013. 6.13. 조례 제892호>",다른 조례의 개정,제2조,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=024&menuNm=main,부칙
SAHA-TRAFFIC-1429-02-16,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,제2조-16항,1,"생략 

부칙 <2013. 6.25. 조례 제900호>",다른 조례의 개정,제2조,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=025&menuNm=main,부칙
SAHA-TRAFFIC-1429-02-07,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,제2조-7항,1,"부산광역시 사하구 교통안전정책심의위원회 운영 조례 제3조제2항제1호 중 “도시관리국장”을 “안전도시국장”으로 한다.

부칙<2022. 5. 16, 조례 제1429호> (부산광역시 사하구 행정기구 설치 조례)",다른 조례의 개정,제2조,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=026&menuNm=main,부칙
SAHA-TRAFFIC-1429-02-09,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,제2조-9항,1,부산광역시 사하구 교통안전정책심의위원회 운영 조례 일부를 다음과 같이 개정한다.,다른 조례의 개정,제2조,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=027&menuNm=main,위원회 운영
SAHA-TRAFFIC-1429-03,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,제3조,1,제2항제1호 중 “안전도시국장”을 “교통환경국장”으로 한다.,,,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=028&menuNm=main,안전 관련
SAHA-TRAFFIC-1429-03-01,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,제3조-1항,1,"위원회는 위원장, 부위원장 각 1명을 포함한 20명 이내의 위원으로 구성한다.",구성,제3조,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=029&menuNm=main,위원회 운영
SAHA-TRAFFIC-1429-03-02,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,제3조-2항,1,"위원장은 부산광역시 사하구청장(이하 ""구청장""이라 한다)이 되고, 부위원장은 부구청장이 되며 위원은 다음 각 호와 같다.
  1. 교통환경국장, 기획실장, 교통행정과장, 건설과장 <개정 2012.2.23, 2013. 6.13. 2013. 6.25, 2022.5.16.>
  2. 구의원
  3. 사하경찰서 경비교통과장
  4. 사하소방서 재난대응과장
  5. 서부교육청 초등교육과장
  6. 교통안전에 관한 학식·경험이 풍부한 자 중에서 구청장이 임명 또는 위촉한 자",구성,제3조,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=030&menuNm=main,위원회 운영
SAHA-TRAFFIC-1429-04,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,제4조,1,"위원의 임기는 2년으로 하되 연임할 수 있다. 단, 공무원의 임기는 그 보직기간으로 한다.",위원의 임기,,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=031&menuNm=main,
SAHA-TRAFFIC-1429-04-12,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,제4조-12항,1,"「부산광역시 사하구 교통안전정책심의위원회 운영 조례」일부를 다음과 같이
개정한다.",다른 조례의 개정,제4조,부산광역시 사하구 교통안전정책심의위원회 운영 조례,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=032&menuNm=main,위원회 운영
SAHA-TRAFFIC-1429-05-01,부산광역시 사하구 교통안전정책심의위원회 운영 조례,부산광역시 사하구,제5조-1항,1,"위원장은 위원회를 대표하고, 위원회 업무를 총괄한다.",위원장의 직무,제5조,,2022-05-16,교통·안전,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=26380115247006&histNo=033&menuNm=main,위원회 운영
